"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P09","Unión por la Patria",0.254,0.245,0.18,0.131
"P09","Juntos por el Cambio",0.335,0.341,0.305,0.162
"P09","De los liberales libertarios",0.268,0.196,0.176,0.091
"P09","De la Izquierda",0.036,0.041,0.056,0.057
"P09","Hacemos por nuestro país",0.012,0.025,0.034,0.031
"P09","Otro",0.032,0.054,0.053,0.111
"P09","En blanco",0.025,0.019,0.026,0.121
"P09","No sabe",0.038,0.079,0.17,0.296
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.252,0.236,0.236,0.13
"P12","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.07,0.119,0.079,0.053
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.209,0.186,0.199,0.124
"P12","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.097,0.145,0.107,0.084
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.288,0.197,0.244,0.081
"P12","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.02,0.018,0.018,0.052
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.031,0.03,0.063
"P12","Otros",0.017,0.033,0.03,0.105
"P12","En blanco",0.014,0.012,0.004,0.1
"P12","No sabe",0.014,0.023,0.053,0.208
"P23","Tiene Decidido que va a ir a votar.",0.948,0.813,0.745,0.607
"P23","Tiene dudas sobre si va a ir a  votar",0.032,0.157,0.088,0.216
"P23","Tiene Decidido que no va a ir a votar",0.02,0.03,0.167,0.177
"P34","Inflación",0.34,0.33,0.25,0.28
"P34","Desempleo",0.081,0.095,0.144,0.129
"P34","Corrupción",0.269,0.246,0.25,0.24
"P34","Inseguridad",0.142,0.152,0.16,0.18
"P34","Precio del dólar",0.02,0.015,0.03,0.005
"P34","Pobreza",0.06,0.077,0.083,0.059
"P34","Narcotráfico",0.016,0.008,0.024,0.031
"P34","Tarifas",0.011,0.02,0.016,0.003
"P34","Otro",0.043,0.032,0.04,0.034
"P34","No sabe",0.018,0.025,0.003,0.039
"P09_imputada","Unión por la Patria",0.261,0.27,0.207,0.208
"P09_imputada","Juntos por el Cambio",0.347,0.367,0.382,0.233
"P09_imputada","De los liberales libertarios",0.279,0.207,0.219,0.125
"P09_imputada","De la Izquierda",0.039,0.042,0.062,0.116
"P09_imputada","Hacemos por nuestro país",0.012,0.025,0.036,0.046
"P09_imputada","Otro",0.035,0.06,0.061,0.132
"P09_imputada","En blanco",0.027,0.029,0.033,0.14
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.257,0.243,0.257,0.189
"P12_imputada","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.07,0.119,0.079,0.063
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.21,0.194,0.205,0.133
"P12_imputada","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.098,0.145,0.115,0.102
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.293,0.203,0.246,0.135
"P12_imputada","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.02,0.018,0.019,0.062
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.018,0.031,0.03,0.068
"P12_imputada","Otros",0.02,0.035,0.039,0.131
"P12_imputada","En blanco",0.014,0.012,0.01,0.117
