"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P09_votan","Unión por la Patria",0.603,0.549,0.075,0.102,0.071,0.06,0.014,0,0.068,0.065
"P09_votan","Juntos por el Cambio",0.181,0.18,0.744,0.711,0.107,0.011,0.077,0.115,0.056,0.075
"P09_votan","De los liberales libertarios",0.083,0.097,0.112,0.079,0.645,0.029,0.118,0.038,0.038,0.089
"P09_votan","De la Izquierda",0.03,0.063,0.019,0.028,0.023,0.509,0.035,0.038,0.152,0.033
"P09_votan","Hacemos por nuestro país",0.012,0.02,0.006,0.019,0.008,0.013,0.255,0.003,0.03,0.021
"P09_votan","Otro",0.014,0.022,0.014,0.015,0.054,0.312,0.082,0.342,0.076,0.071
"P09_votan","En blanco",0.005,0.012,0.001,0.021,0.02,0.004,0.245,0.058,0.445,0.08
"P09_votan","No sabe",0.072,0.057,0.029,0.025,0.072,0.062,0.174,0.406,0.135,0.566
"P22_votan","Totalmente seguro.",0.656,0.577,0.653,0.557,0.716,0.526,0.403,0.366,0.389,0.203
"P22_votan","Bastante seguro",0.16,0.257,0.148,0.225,0.128,0.112,0.193,0.185,0.054,0.089
"P22_votan","Algo seguro",0.106,0.094,0.113,0.118,0.112,0.058,0.143,0.048,0.029,0.157
"P22_votan","Para nada seguro",0.078,0.072,0.086,0.1,0.044,0.304,0.261,0.401,0.528,0.551
"P23_votan","Tiene Decidido que va a ir a votar.",0.938,0.914,0.944,0.895,0.923,0.842,0.816,0.814,0.836,0.789
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.062,0.086,0.056,0.105,0.077,0.158,0.184,0.186,0.164,0.211
"P34_votan","Inflación",0.374,0.365,0.312,0.335,0.307,0.206,0.252,0.279,0.281,0.216
"P34_votan","Desempleo",0.112,0.138,0.052,0.124,0.061,0.23,0.077,0.166,0.064,0.166
"P34_votan","Corrupción",0.136,0.113,0.32,0.267,0.368,0.211,0.308,0.278,0.242,0.212
"P34_votan","Inseguridad",0.15,0.126,0.223,0.15,0.118,0.134,0.195,0.066,0.073,0.151
"P34_votan","Precio del dólar",0.029,0.018,0.01,0.017,0.02,0,0,0.069,0,0.009
"P34_votan","Pobreza",0.097,0.108,0.041,0.041,0.049,0.18,0.078,0.015,0.138,0.099
"P34_votan","Narcotráfico",0.01,0.007,0.014,0.035,0.016,0.009,0.013,0.002,0.046,0.039
"P34_votan","Tarifas",0.011,0.031,0.006,0.004,0.008,0,0,0.046,0.061,0.003
"P34_votan","Otro",0.061,0.077,0.015,0.021,0.038,0.025,0.063,0.058,0.095,0.006
"P34_votan","No sabe",0.02,0.017,0.007,0.006,0.015,0.005,0.014,0.021,0,0.099
