"var","categoria","Mejor","Igual","Peor","No sabe"
"P11","Al Frente de todos",0.708,0.582,0.22,0.431
"P11","A Juntos",0.142,0.229,0.487,0.203
"P11","Al Frente de Izquierda",0.056,0.034,0.04,0.082
"P11","Al Partido Avanza libertad",0.011,0.058,0.102,0.131
"P11","A “Vamos con vos""",0.009,0.012,0.024,0.013
"P11","Votaría en blanco o anularía",0.074,0.085,0.127,0.14
