"var","categoria","Lo votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.696,0.428,0.394,0.296
"P05","Bastante",0.167,0.212,0.256,0.297
"P05","Poco",0.114,0.24,0.181,0.202
"P05","Nada",0.023,0.072,0.157,0.159
"P05","No sabe",0,0.048,0.012,0.046
"P06","Siempre",0.397,0.36,0.228,0.224
"P06","Casi siempre",0.288,0.292,0.32,0.407
"P06","Casi nunca",0.262,0.287,0.32,0.252
"P06","Nunca, pero esta es una excepción",0.053,0.061,0.132,0.117
"P09","De Unión por la Patria",0.479,0.329,0.22,0.231
"P09","De Juntos por el Cambio",0.177,0.333,0.338,0.369
"P09","De los liberales libertarios",0,0.128,0.198,0.129
"P09","De la Izquierda",0.14,0.031,0.026,0.028
"P09","Hacemos por Nuestro País",0.108,0.032,0.004,0.014
"P09","otro",0.011,0.071,0.043,0.079
"P09","En blanco",0.011,0.003,0.1,0.034
"P09","No sabe",0.074,0.073,0.071,0.116
"P10","Unidos para Cambiar Santa Fe",0.468,0.296,0.254,0.226
"P10","Juntos Avancemos",0.258,0.311,0.266,0.26
"P10","De los liberales libertarios",0,0.175,0.167,0.11
"P10","De la Izquierda",0.122,0.061,0.04,0.032
"P10","En blanco",0,0.027,0.113,0.049
"P10","No sabe",0.152,0.13,0.16,0.323
"P11","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.113,0.271,0.223,0.22
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.105,0.127,0.178,0.231
"P11","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.25,0.056,0.089,0.051
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.239,0.186,0.179,0.123
"P11","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.102,0.093,0.065,0.079
"P11","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.123,0.129,0.056,0.044
"P11","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.042,0.039,0.019,0.032
"P11","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0.026,0.044,0.02,0.012
"P11","En blanco",0,0,0.112,0.039
"P11","No sabe",0,0.055,0.059,0.169
"P15","Lo votaría",0.194,0.133,0.08,0.082
"P15","Puede que lo vote",0.109,0.345,0.143,0.133
"P15","Nunca lo votaría",0.277,0.259,0.595,0.224
"P15","No sabe",0.42,0.263,0.182,0.561
"P16","La votaría",0.223,0.212,0.223,0.149
"P16","Puede que la vote",0.071,0.302,0.098,0.19
"P16","Nunca la votaría",0.677,0.429,0.642,0.363
"P16","No sabe",0.029,0.057,0.037,0.298
"P17","Lo votaría",0.138,0.244,0.196,0.2
"P17","Puede que lo vote",0.144,0.276,0.117,0.198
"P17","Nunca lo votaría",0.718,0.386,0.652,0.328
"P17","No sabe",0,0.094,0.035,0.274
"P18","La votaría",0.094,0.198,0.084,0.062
"P18","Puede que la vote",0.151,0.325,0.077,0.104
"P18","Nunca la votaría",0.45,0.284,0.707,0.204
"P18","No sabe",0.305,0.193,0.132,0.63
"P19","La votaría",0.345,0.138,0.102,0.079
"P19","Puede que la vote",0.248,0.42,0.147,0.153
"P19","Nunca la votaría",0.396,0.325,0.689,0.332
"P19","No sabe",0.011,0.117,0.062,0.436
"P20","Lo votaría",0.402,0.296,0.192,0.122
"P20","Puede que lo vote",0.134,0.316,0.101,0.144
"P20","Nunca lo votaría",0.368,0.288,0.652,0.345
"P20","No sabe",0.096,0.1,0.055,0.389
"P21","Lo votaría",0.353,0.24,0.09,0.095
"P21","Puede que lo vote",0.129,0.343,0.09,0.138
"P21","Nunca lo votaría",0.434,0.272,0.771,0.316
"P21","No sabe",0.084,0.145,0.049,0.451
"P22","Lo votaría",0.169,0.131,0.063,0.054
"P22","Puede que lo vote",0.198,0.395,0.079,0.084
"P22","Nunca lo votaría",0.485,0.268,0.723,0.217
"P22","No sabe",0.148,0.206,0.135,0.645
"P23","Lo votaría",0.263,0.189,0.056,0.065
"P23","Puede que lo vote",0.238,0.437,0.068,0.085
"P23","Nunca lo votaría",0.488,0.292,0.779,0.251
"P23","No sabe",0.011,0.082,0.097,0.599
"P24","Lo votaría",0.099,0.144,0.058,0.058
"P24","Puede que lo vote",0.29,0.444,0.074,0.074
"P24","Nunca lo votaría",0.475,0.257,0.806,0.304
"P24","No sabe",0.136,0.155,0.062,0.564
"P25","Lo votaría",0.119,0.075,0.09,0.077
"P25","Puede que lo vote",0.15,0.452,0.117,0.134
"P25","Nunca lo votaría",0.679,0.331,0.729,0.231
"P25","No sabe",0.052,0.142,0.064,0.558
"P26","Lo votaría",0.098,0.048,0.033,0.015
"P26","Puede que la vote",0.095,0.407,0.032,0.059
"P26","Nunca la votaría",0.543,0.311,0.816,0.121
"P26","No sabe",0.264,0.234,0.119,0.805
"P27","La votaría",0.065,0.044,0.069,0.018
"P27","Puede que la vote",0.168,0.407,0.094,0.068
"P27","Nunca la votaría",0.603,0.344,0.769,0.161
"P27","No sabe",0.164,0.205,0.068,0.753
"P28","Lo votaría",0.094,0.043,0.032,0.01
"P28","Puede que la vote",0.125,0.41,0.043,0.043
"P28","Nunca la votaría",0.592,0.298,0.814,0.123
"P28","No sabe",0.189,0.249,0.111,0.824
"P29","La votaría",0.347,0.135,0.067,0.052
"P29","Puede que la vote",0.04,0.49,0.076,0.054
"P29","Nunca la votaría",0.481,0.237,0.767,0.154
"P29","No sabe",0.132,0.138,0.09,0.74
"P30","Lo votaría",0.132,0.039,0.04,0.035
"P30","Puede que la vote",0.175,0.456,0.047,0.019
"P30","Nunca la votaría",0.341,0.3,0.822,0.107
"P30","No sabe",0.352,0.205,0.091,0.839
"P31","La votaría",0.353,0.163,0.039,0.044
"P31","Puede que la vote",0.085,0.449,0.095,0.106
"P31","Nunca la votaría",0.492,0.283,0.825,0.223
"P31","No sabe",0.07,0.105,0.041,0.627
"P32","La votaría",0.283,0.083,0.038,0.025
"P32","Puede que la vote",0.156,0.467,0.034,0.02
