"var","categoria","Lo votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.601,0.444,0.401,0.289
"P05","Bastante",0.28,0.269,0.244,0.283
"P05","Poco",0.053,0.174,0.189,0.224
"P05","Nada",0.066,0.1,0.15,0.158
"P05","No sabe",0,0.013,0.016,0.046
"P06","Siempre",0.296,0.278,0.244,0.219
"P06","Casi siempre",0.397,0.339,0.319,0.379
"P06","Casi nunca",0.214,0.236,0.311,0.292
"P06","Nunca, pero esta es una excepción",0.093,0.147,0.126,0.11
"P09","De Unión por la Patria",0.342,0.272,0.217,0.244
"P09","De Juntos por el Cambio",0.452,0.351,0.342,0.351
"P09","De los liberales libertarios",0.078,0.143,0.185,0.134
"P09","De la Izquierda",0.05,0.047,0.034,0.018
"P09","Hacemos por Nuestro País",0.078,0.016,0.016,0.008
"P09","otro",0,0.047,0.054,0.072
"P09","En blanco",0,0.044,0.09,0.044
"P09","No sabe",0,0.08,0.062,0.129
"P10","Unidos para Cambiar Santa Fe",0.452,0.373,0.247,0.218
"P10","Juntos Avancemos",0.287,0.269,0.277,0.252
"P10","De los liberales libertarios",0.078,0.168,0.166,0.109
"P10","De la Izquierda",0.128,0.053,0.044,0.028
"P10","En blanco",0.019,0,0.11,0.059
"P10","No sabe",0.036,0.137,0.156,0.334
"P11","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.1,0.31,0.241,0.209
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.391,0.161,0.158,0.208
"P11","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0,0.064,0.095,0.063
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.268,0.164,0.18,0.119
"P11","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.097,0.061,0.065,0.08
