"var","categoria","Lo votaría","Puede que la vote","Nunca la votaría","No sabe"
"P11_","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.113,0.275,0.244,0.269
"P11_","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.105,0.144,0.191,0.277
"P11_","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.25,0.066,0.089,0.072
"P11_","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.239,0.195,0.194,0.144
"P11_","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.102,0.107,0.066,0.087
"P11_","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.123,0.129,0.062,0.056
"P11_","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.042,0.04,0.02,0.033
"P11_","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0.026,0.044,0.02,0.014
"P11_","En blanco",0,0,0.114,0.048
