"var","categoria","Lo votaría","Puede que la vote","Nunca la votaría","No sabe"
"P11_","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.1,0.315,0.262,0.254
"P11_","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.391,0.161,0.168,0.261
"P11_","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0,0.076,0.095,0.083
"P11_","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.268,0.175,0.191,0.145
"P11_","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.097,0.061,0.071,0.089
"P11_","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.081,0.123,0.053,0.071
"P11_","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.044,0.016,0.023,0.037
"P11_","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0,0.066,0.024,0.011
"P11_","En blanco",0.019,0.007,0.113,0.049
