"var","categoria","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda","En blanco"
"P05","Mucho",0.276,0.294,0.291,0.43,0.515,0.408,0.483,0.639,0.276
"P05","Bastante",0.31,0.255,0.363,0.251,0.204,0.221,0.218,0.242,0.13
"P05","Poco",0.248,0.234,0.181,0.132,0.092,0.209,0.14,0.097,0.18
"P05","Nada",0.133,0.178,0.133,0.156,0.125,0.11,0.103,0.017,0.341
"P05","No sabe",0.033,0.039,0.032,0.031,0.064,0.052,0.056,0.005,0.073
"P06","Siempre",0.213,0.264,0.142,0.209,0.301,0.266,0.221,0.192,0.14
"P06","Casi siempre",0.338,0.315,0.345,0.349,0.33,0.308,0.36,0.405,0.222
"P06","Casi nunca",0.319,0.26,0.337,0.312,0.241,0.328,0.307,0.209,0.355
"P06","Nunca, pero esta es una excepción",0.13,0.161,0.176,0.13,0.128,0.098,0.112,0.194,0.283
"P09","De Unión por la Patria",0.061,0.085,0.139,0.581,0.583,0.347,0.491,0.053,0.023
"P09","De Juntos por el Cambio",0.62,0.523,0.197,0.119,0.144,0.168,0.132,0.176,0.139
"P09","De los liberales libertarios",0.172,0.126,0.271,0.05,0.085,0.251,0.029,0.052,0.303
"P09","De la Izquierda",0.003,0.032,0.021,0.008,0.068,0.032,0.104,0.505,0
"P09","Hacemos por Nuestro País",0.026,0.014,0.05,0.023,0.008,0,0.009,0,0
"P09","otro",0.015,0.046,0.107,0.065,0.007,0.022,0.123,0.087,0.084
"P09","En blanco",0.019,0.045,0.069,0.054,0.075,0.038,0.03,0.047,0.35
"P09","No sabe",0.084,0.129,0.146,0.1,0.03,0.142,0.082,0.08,0.101
"P10","Unidos para Cambiar Santa Fe",0.174,0.237,0.258,0.389,0.433,0.201,0.327,0.108,0.012
"P10","Juntos Avancemos",0.377,0.328,0.136,0.25,0.279,0.152,0.131,0.019,0.069
"P10","De los liberales libertarios",0.159,0.112,0.204,0.034,0.061,0.185,0.038,0.043,0.301
"P10","De la Izquierda",0.018,0.017,0.031,0.028,0.046,0.032,0.228,0.586,0.042
"P10","En blanco",0.028,0.05,0.133,0.056,0.059,0.081,0.064,0,0.437
"P10","No sabe",0.244,0.256,0.238,0.243,0.122,0.349,0.212,0.244,0.139
"P15","Lo votaría",0.083,0.099,0.026,0.213,0.093,0.115,0.084,0.042,0
"P15","Puede que lo vote",0.137,0.176,0.072,0.242,0.191,0.06,0.085,0.104,0.056
"P15","Nunca lo votaría",0.382,0.324,0.478,0.223,0.319,0.381,0.461,0.575,0.648
