"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Perotti/Rodenas","Bonfatti/Tejeda","Corral/Martínez","Rosario","Santa Fe","Norte","Sur"
"Si",0.42,0.419,0.421,0.3,0.477,0.472,0.399,0.392,0.426,0.446,0.444,0.428,0.374,0.459,0.393,0.441,0.415,0.341,0.419,0.454
"No",0.58,0.581,0.579,0.7,0.523,0.528,0.601,0.608,0.574,0.554,0.556,0.572,0.626,0.541,0.607,0.559,0.585,0.659,0.581,0.546
