"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"A Tolosa Paz por el Frente de Todos",0.242,0.246,0.238,0.248,0.294,0.242,0.146,0.257,0.216,0.256,0.275,0.2,0.68,0.027,0.164,0.827,0.03,0.066,0.217,0.23,0.019,0,0.047,0.108,0.35
"A Santilli y Manes por Juntos",0.573,0.519,0.618,0.434,0.502,0.614,0.778,0.541,0.604,0.562,0.529,0.629,0.156,0.855,0.34,0.101,0.937,0.811,0.142,0.11,0.201,0.482,0.477,0.058,0.404
"A del Caño por el Frente de Izquierda",0.033,0.033,0.033,0.044,0.041,0.033,0.008,0.021,0.048,0.026,0.039,0.024,0.052,0.012,0.076,0.024,0.004,0.007,0.128,0.487,0,0.25,0.163,0,0.025
"A Espert por Avanza libertad",0.076,0.131,0.031,0.133,0.089,0.054,0.029,0.067,0.074,0.083,0.079,0.074,0.031,0.087,0.156,0.02,0.02,0.086,0.047,0,0.714,0,0.065,0,0.046
"A Randazzo por ""Vamos con vos""",0.023,0.024,0.022,0.051,0.019,0.016,0.01,0.024,0.015,0.028,0.024,0.022,0.022,0.008,0.182,0,0,0.03,0.296,0.173,0.007,0,0.019,0,0.073
"A Hotton por “+Valores”",0,0.001,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0
"Votaría en blanco o anularía",0.053,0.046,0.058,0.09,0.054,0.041,0.029,0.09,0.043,0.044,0.054,0.051,0.059,0.011,0.082,0.028,0.009,0,0.17,0,0.059,0.268,0.216,0.834,0.102
