"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.585,0.134,0.044,0.185,0.188,0
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.187,0.1,0.413,0.561,0.385,0
"P09","Nunca voy a votar",0,0.01,0.03,0,0,0
"P09","Por miedo a la pandemia",0.103,0.394,0.238,0.054,0.252,0
"P09","Porque las PASO no son elecciones importantes",0.125,0.362,0.275,0.2,0.175,1
"P14","A Tolosa Paz por el Frente de Todos",0.034,0.097,0.188,0.511,0.742,0.189
"P14","A Santilli y Manes por Juntos",0.927,0.802,0.536,0.197,0.016,0.09
"P14","A del Caño por el Frente de Izquierda",0.008,0.007,0.02,0.105,0.094,0.156
"P14","A Espert por Avanza libertad",0.011,0.042,0.162,0.123,0.121,0
"P14","A Randazzo por ""Vamos con vos""",0.005,0.036,0.031,0.004,0.005,0
"P14","A Hotton por “+Valores”",0,0,0,0,0.002,0
"P14","Votaría en blanco o anularía",0.015,0.016,0.063,0.06,0.02,0.565
"P16","A Juan Aníbal Viaggo por Juntos",0.924,0.794,0.521,0.197,0.016,0.09
"P16","A Mateo Bartolini por el Frente de todos",0.034,0.093,0.188,0.497,0.755,0.189
"P16","A Catalina Riganti por Convocación Civica por San Isidro",0.002,0.014,0.016,0.003,0.002,0
"P16","A Francisco Sicardi de Estrada por Avanza libertad",0.009,0.04,0.162,0.119,0.108,0
"P16","A Florencia Sarmiento por el Frente de Izquierda",0.009,0.007,0.031,0.105,0.094,0.156
"P16","A Martín Eduardo Palma Bastidas por “Vamos con vos""",0.005,0.019,0.02,0.004,0.005,0
"P16","Votaría en blanco o anularía",0.017,0.033,0.062,0.075,0.02,0.565
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.906,0.813,0.494,0.264,0.078,0.09
"P18","Victoria Tolosa Paz por el Frente de todos",0.048,0.062,0.222,0.47,0.707,0.274
"P18","Nicolás del Caño por el Frente de Izquierda",0.011,0.005,0.023,0.045,0.044,0.071
"P18","José Luis Espert por “Avanza Libertad”",0.011,0.056,0.14,0.111,0.119,0
"P18","Florencio Randazzo por “Vamos con vos”",0.004,0.03,0.016,0.039,0.003,0
"P18","Cynthia Hotton por “+Valores”",0,0,0,0.02,0.002,0
"P18","Ninguna en particular",0.019,0.024,0.092,0.051,0.033,0
"P18","No sabe",0.001,0.01,0.013,0,0.014,0.565
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.069,0.088,0.173,0.417,0.706,0.189
"P19","Victoria Tolosa Paz por el Frente de todos",0.854,0.774,0.618,0.425,0.179,0.071
"P19","Nicolás del Caño por el Frente de Izquierda",0.024,0.015,0.043,0,0.024,0.09
"P19","José Luis Espert por “Avanza Libertad”",0.001,0.006,0.043,0.065,0.04,0
"P19","Florencio Randazzo por “Vamos con vos”",0.027,0.002,0.017,0.005,0,0
"P19","Cynthia Hotton por “+Valores”",0,0.005,0.039,0.017,0,0
"P19","Ninguna en particular",0.018,0.105,0.053,0.055,0.051,0.085
"P19","No sabe",0.007,0.005,0.014,0.016,0,0.565
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.321,0.173,0.227,0.269,0.173,0.09
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.204,0.359,0.309,0.249,0.277,0.086
"P20","No alcanzan para cubrir los gastos totales de la familia",0.161,0.131,0.12,0.105,0.112,0
"P20","Alcanzan para cubrir los gastos totales de la familia",0.162,0.166,0.221,0.148,0.219,0.083
"P20","Tenemos un pequeño excedente, pero es excepcional",0.062,0.082,0.042,0.08,0.074,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.054,0.052,0.039,0.09,0.067,0.105
"P20","Tenemos un gran excedente pero es excepcional",0,0.002,0.004,0.006,0.006,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.005,0.016,0.006,0,0.017,0.565
"P20","No sabe",0.031,0.019,0.032,0.053,0.055,0.071
"P21","Muy buena",0.022,0.013,0.019,0.136,0.375,0
"P21","Buena",0.021,0.067,0.166,0.316,0.296,0.083
"P21","Ni buena ni mala",0.029,0.093,0.113,0.098,0.071,0.09
"P21","Mala",0.135,0.207,0.081,0.053,0.048,0
"P21","Muy mala",0.774,0.618,0.609,0.354,0.207,0.157
"P21","No sabe",0.019,0.002,0.012,0.043,0.003,0.67
"P22","Muy buena",0.025,0.02,0.084,0.348,0.639,0
"P22","Buena",0.019,0.047,0.106,0.092,0.105,0.083
"P22","Ni buena ni mala",0.004,0.043,0.065,0.082,0.014,0.09
"P22","Mala",0.041,0.053,0.05,0.032,0.016,0
"P22","Muy mala",0.902,0.837,0.671,0.446,0.226,0.157
"P22","No sabe",0.009,0,0.024,0,0,0.67
"P23","Muy buena",0.011,0.016,0.009,0.036,0.23,0.083
"P23","Buena",0.015,0.05,0.101,0.202,0.212,0
"P23","Ni buena ni mala",0.045,0.12,0.116,0.244,0.197,0.09
"P23","Mala",0.125,0.197,0.089,0.132,0.121,0.086
"P23","Muy mala",0.797,0.615,0.671,0.386,0.234,0.071
"P23","No sabe",0.007,0.002,0.014,0,0.006,0.67
"P24","Muy buena",0.478,0.115,0.089,0.104,0.032,0
"P24","Buena",0.295,0.331,0.16,0.06,0.027,0
"P24","Ni buena ni mala",0.157,0.271,0.265,0.06,0.019,0.176
"P24","Mala",0.046,0.159,0.218,0.417,0.074,0
"P24","Muy mala",0.024,0.115,0.242,0.316,0.827,0.083
"P24","No sabe",0,0.009,0.026,0.043,0.021,0.741
