"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"A Juan Aníbal Viaggo por Juntos",0.56,0.508,0.603,0.411,0.482,0.61,0.777,0.524,0.592,0.551,0.508,0.626,0.145,0.844,0.327,0.102,0.927,0.739,0.142,0.11,0.173,0.482,0.465,0.06,0.394
"A Mateo Bartolini por el Frente de todos",0.246,0.249,0.244,0.274,0.294,0.242,0.141,0.256,0.212,0.267,0.276,0.208,0.688,0.03,0.168,0.84,0.028,0.066,0.217,0.231,0.05,0,0.049,0.109,0.354
"A Catalina Riganti por Convocación Civica por San Isidro",0.014,0.007,0.02,0.011,0.027,0.006,0.004,0.017,0.006,0.019,0.014,0.014,0.011,0.015,0.024,0,0.005,0.071,0,0,0.038,0,0.05,0.012,0.015
"A Francisco Sicardi de Estrada por Avanza libertad",0.073,0.126,0.029,0.122,0.089,0.05,0.027,0.067,0.073,0.075,0.079,0.066,0.031,0.081,0.158,0.02,0.019,0.086,0.047,0,0.683,0,0.029,0,0.047
"A Florencia Sarmiento por el Frente de Izquierda",0.034,0.038,0.03,0.044,0.043,0.033,0.008,0.021,0.054,0.024,0.043,0.022,0.056,0.011,0.077,0.019,0.004,0.007,0.127,0.55,0,0.249,0.167,0,0.025
"A Martín Eduardo Palma Bastidas por “Vamos con vos""",0.016,0.012,0.02,0.034,0.011,0.016,0.01,0.025,0.009,0.019,0.014,0.019,0.016,0.008,0.097,0,0,0.031,0.297,0.109,0.007,0,0.02,0,0.033
"Votaría en blanco o anularía",0.057,0.06,0.054,0.104,0.054,0.043,0.033,0.09,0.054,0.045,0.066,0.045,0.053,0.011,0.149,0.019,0.017,0,0.17,0,0.049,0.269,0.22,0.819,0.132
