"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.368,0.055,0,0.125,0,0,0.127,0
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.084,0.512,0.407,0.576,0.147,1,0.594,0
"P09","Nunca voy a votar",0.008,0,0.593,0,0,0,0,0
"P09","Por miedo a la pandemia",0.198,0.32,0,0,0,0,0.025,1
"P09","Porque las PASO no son elecciones importantes",0.342,0.113,0,0.299,0.853,0,0.254,0
"P14","A Tolosa Paz por el Frente de Todos",0.044,0.883,0.031,0.018,0.221,0,0.145,0
"P14","A Santilli y Manes por Juntos",0.907,0.096,0.23,0.144,0.074,0,0.116,0.144
"P14","A del Caño por el Frente de Izquierda",0.013,0.018,0.626,0,0.05,0,0.043,0.214
"P14","A Espert por Avanza libertad",0.02,0,0.021,0.813,0.041,0,0.034,0.03
"P14","A Randazzo por ""Vamos con vos""",0.007,0,0.092,0.025,0.586,0,0.09,0
"P14","A Hotton por “+Valores”",0,0,0,0,0,0.17,0,0
"P14","Votaría en blanco o anularía",0.009,0.003,0,0,0.028,0.83,0.572,0.612
"P16","A Juan Aníbal Viaggo por Juntos",0.895,0.093,0.053,0.144,0.074,0,0.055,0.128
"P16","A Mateo Bartolini por el Frente de todos",0.042,0.878,0.031,0.047,0.221,0,0.145,0.151
"P16","A Catalina Riganti por Convocación Civica por San Isidro",0.013,0.003,0.177,0.004,0.061,0.17,0.006,0.016
"P16","A Francisco Sicardi de Estrada por Avanza libertad",0.018,0,0.021,0.78,0.041,0,0.034,0.03
"P16","A Florencia Sarmiento por el Frente de Izquierda",0.014,0.018,0.718,0,0.05,0,0.043,0.214
"P16","A Martín Eduardo Palma Bastidas por “Vamos con vos""",0.007,0,0,0.025,0.355,0,0.09,0
"P16","Votaría en blanco o anularía",0.011,0.008,0,0,0.198,0.83,0.627,0.461
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.093,0.674,0.598,0.023,0.304,0,0.187,0.115
"P19","Victoria Tolosa Paz por el Frente de todos",0.831,0.155,0.287,0.879,0.213,0.174,0.254,0.145
"P19","Nicolás del Caño por el Frente de Izquierda",0.016,0.03,0.103,0.016,0.064,0,0,0.117
"P19","José Luis Espert por “Avanza Libertad”",0.001,0.05,0,0.074,0,0,0.072,0
"P19","Florencio Randazzo por “Vamos con vos”",0.006,0.023,0,0,0.066,0,0,0
