"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Diego Santilli y Facundo Manes por “Juntos”",0.586,0.54,0.624,0.432,0.513,0.677,0.747,0.547,0.627,0.57,0.54,0.644,0.205,0.855,0.318,0.126,0.923,0.702,0.166,0.277,0.275,0.731,0.536,0.203,0.435
"Victoria Tolosa Paz por el Frente de todos",0.234,0.213,0.251,0.291,0.274,0.21,0.139,0.244,0.2,0.255,0.268,0.189,0.628,0.043,0.163,0.79,0.035,0.107,0.084,0.198,0.02,0,0.049,0,0.344
"Nicolás del Caño por el Frente de Izquierda",0.022,0.032,0.013,0.023,0.035,0.015,0.005,0.023,0.033,0.013,0.034,0.006,0.051,0.001,0.013,0.015,0.001,0.036,0.188,0.325,0,0,0.014,0,0.01
"José Luis Espert por “Avanza Libertad”",0.073,0.129,0.027,0.121,0.09,0.035,0.046,0.085,0.058,0.08,0.074,0.073,0.032,0.077,0.217,0.029,0.021,0.12,0,0,0.681,0,0.033,0,0.035
"Florencio Randazzo por “Vamos con vos”",0.02,0.024,0.017,0.018,0.029,0.016,0.01,0.027,0.011,0.024,0.025,0.014,0.029,0.003,0.141,0.01,0.002,0.028,0.201,0,0,0,0.078,0,0.079
"Cynthia Hotton por “+Valores”",0.002,0.001,0.002,0.006,0.001,0.001,0.001,0,0,0.004,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0.028,0,0.009
"Ninguna en particular",0.043,0.056,0.033,0.076,0.034,0.033,0.042,0.056,0.039,0.042,0.042,0.046,0.045,0.008,0.148,0.015,0.015,0.007,0.361,0.125,0.014,0.269,0.115,0.403,0.072
"No sabe",0.02,0.005,0.033,0.033,0.024,0.013,0.01,0.018,0.032,0.012,0.016,0.026,0.01,0.013,0,0.015,0.003,0,0,0.075,0.01,0,0.147,0.394,0.016
