"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","Aun no tengo decidido mi voto"
"P08","Totalmente seguro",0.753,0.839,0.364,0.087
"P08","Bastante seguro",0.124,0.083,0.168,0.042
"P08","Algo seguro",0.056,0.069,0.288,0.075
"P08","Para nada seguro",0.067,0.009,0.18,0.796
"P09","Tiene Decidido que va a ir a votar",0.941,0.941,0.792,0.184
"P09","Tiene dudas sobre si va a ir a  votar",0.02,0.017,0.09,0.491
"P09","Tiene Decidido que no va a ir a votar",0.039,0.042,0.118,0.325
"P10","Lo votaría",0.926,0.012,0.213,0.009
"P10","Puede que lo vote",0.055,0.09,0.144,0.202
"P10","Nunca lo votaría",0.015,0.893,0.416,0.239
"P10","No sabe",0.004,0.005,0.227,0.55
"P11","Lo votaría",0.052,0.852,0.156,0.007
"P11","Puede que lo vote",0.072,0.104,0.152,0.168
"P11","Nunca lo votaría",0.86,0.041,0.384,0.33
"P11","No sabe",0.016,0.003,0.308,0.495
