"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.386,0.369,0.402,0.422,0.326,0.515,0.289,0.328,0.456,0.366,0.384,0.354,0.332,0.416
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.259,0.302,0.22,0.265,0.286,0.229,0.226,0.217,0.281,0.292,0.292,0.258,0.223,0.241
"En blanco",0.197,0.194,0.2,0.164,0.252,0.142,0.198,0.189,0.178,0.238,0.181,0.23,0.365,0.162
"Aun no tengo decidido mi voto",0.158,0.135,0.178,0.149,0.136,0.114,0.287,0.266,0.085,0.104,0.143,0.158,0.08,0.181
