"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza"
"P08","Totalmente seguro",0.177,0.549
"P08","Bastante seguro",0.276,0.153
"P08","Algo seguro",0.329,0.15
"P08","Para nada seguro",0.218,0.148
"P09","Tiene Decidido que va a ir a votar",0.686,0.845
"P09","Tiene dudas sobre si va a ir a  votar",0.05,0.118
"P09","Tiene Decidido que no va a ir a votar",0.264,0.037
"P10","Lo votaría",0.289,0
"P10","Puede que lo vote",0.08,0.328
"P10","Nunca lo votaría",0.18,0.641
"P10","No sabe",0.451,0.031
"P11","Lo votaría",0,0.28
"P11","Puede que lo vote",0.008,0.378
"P11","Nunca lo votaría",0.506,0.275
"P11","No sabe",0.486,0.067
