"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","La candidata a Jefe de Gobierno de la izquierda","En blanco","No sabe"
"P10","Unión por la Patria",0.623,0.082,0.123,0.401,0.153,0.097
"P10","Juntos por el Cambio",0.173,0.743,0.169,0.048,0.314,0.13
"P10","De los liberales libertarios",0.095,0.127,0.598,0.154,0.212,0.159
"P10","De la Izquierda",0.06,0.01,0.033,0.391,0.027,0.098
"P10","Hacemos por nuestro país",0.018,0.017,0.04,0,0.032,0.11
"P10","Otro",0.004,0.012,0.016,0,0.095,0.056
"P10","En blanco",0.006,0,0.001,0,0.092,0.019
"P10","No sabe",0.021,0.009,0.02,0.006,0.075,0.331
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.697,0.079,0.126,0.307,0.189,0.214
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.121,0.751,0.131,0.038,0.147,0.157
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.06,0.123,0.702,0.094,0.208,0.255
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.049,0.005,0.003,0.522,0.036,0.078
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.024,0.03,0,0.2,0.076
"P13","En blanco",0.014,0.007,0.004,0,0.094,0.005
"P13","No sabe",0.034,0.011,0.004,0.039,0.126,0.215
"P16","Union por la Patria",0.717,0.085,0.18,0.072,0.06,0.118
"P16","Cambiemos",0.121,0.846,0.184,0.102,0.149,0.143
"P16","Liberales",0.091,0.054,0.607,0.018,0.081,0.101
"P16","Izquierda",0.014,0.004,0.007,0.744,0.02,0.087
"P16","No sabe",0.057,0.011,0.022,0.064,0.69,0.551
"P26","Totalmente seguro",0.693,0.746,0.731,0.458,0.347,0.435
"P26","Bastante seguro",0.133,0.15,0.142,0.165,0.1,0.184
"P26","Algo seguro",0.112,0.082,0.106,0.157,0.295,0.163
"P26","Para nada seguro",0.062,0.022,0.021,0.22,0.258,0.218
"P27","Tiene Decidido que va a ir a votar",0.925,0.956,0.879,0.881,0.646,0.804
"P27","Tiene dudas sobre si va a ir a  votar",0.065,0.032,0.114,0.091,0.164,0.141
"P27","Tiene Decidido que no va a ir a votar",0.01,0.012,0.007,0.028,0.19,0.055
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.766,0.124,0.217,0.534,0.246,0.376
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.124,0.806,0.332,0.176,0.362,0.233
"P28","En blanco",0.041,0.026,0.286,0.131,0.258,0.12
"P28","No sabe",0.069,0.044,0.165,0.159,0.134,0.271
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.343,0.775,0.203,0.409,0.229,0.241
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.092,0.167,0.664,0.099,0.35,0.335
"P29","En blanco",0.368,0.03,0.084,0.376,0.228,0.235
"P29","No sabe",0.197,0.028,0.049,0.116,0.193,0.189
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.762,0.195,0.201,0.541,0.131,0.366
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.329,0.63,0.132,0.424,0.293
"P30","En blanco",0.096,0.321,0.103,0.245,0.311,0.186
"P30","No sabe",0.072,0.155,0.066,0.082,0.134,0.155
"P38","Inflación",0.422,0.364,0.383,0.302,0.203,0.499
"P38","Desempleo",0.073,0.049,0.101,0.113,0.177,0.141
"P38","Corrupción",0.129,0.383,0.276,0.282,0.269,0.144
"P38","Inseguridad",0.087,0.121,0.166,0.069,0.053,0
"P38","Precio del dólar",0.035,0.002,0,0,0.065,0
"P38","Pobreza",0.101,0.031,0.039,0.19,0.024,0.099
"P38","Narcotráfico",0.002,0.007,0.004,0,0,0.017
"P38","Tarifas",0.008,0.005,0,0.013,0,0
"P38","Otro",0.108,0.028,0.028,0.031,0.209,0.064
"P38","No sabe",0.035,0.01,0.003,0,0,0.036
