"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.318,0.39,0.077,0.262,0.302,0.513,0.122,0.478,0.384,0.55
"P10","Juntos por el Cambio",0.376,0.251,0.582,0.48,0.16,0.214,0.566,0.522,0.29,0.265
"P10","De los liberales libertarios",0.214,0.202,0.238,0.188,0.284,0.088,0.153,0,0.046,0.077
"P10","De la Izquierda",0.008,0.054,0.025,0.052,0.077,0.063,0,0,0.147,0.018
"P10","Hacemos por nuestro país",0.042,0,0.03,0.01,0,0,0,0,0.028,0
"P10","Otro",0.014,0.048,0.008,0.008,0.041,0.01,0,0,0.056,0.048
"P10","En blanco",0.007,0.005,0.009,0,0,0,0,0,0,0.042
"P10","No sabe",0.021,0.05,0.031,0,0.136,0.112,0.159,0,0.049,0
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.317,0.442,0.068,0.264,0.941,0.449,0.122,0.431,0.376,0.336
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.386,0.262,0.563,0.497,0.018,0.184,0.566,0.522,0.259,0.506
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.21,0.218,0.259,0.168,0,0.161,0.153,0,0.091,0.067
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.03,0.019,0.029,0.04,0,0.045,0,0.047,0.136,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.035,0.008,0.042,0.017,0,0.018,0,0,0.063,0.049
"P13","En blanco",0.005,0.026,0.012,0,0.041,0.031,0,0,0.04,0
"P13","No sabe",0.017,0.025,0.027,0.014,0,0.112,0.159,0,0.035,0.042
"P16","Union por la Patria",0.297,0.383,0.097,0.355,0.492,0.463,0.125,0.336,0.489,0.647
"P16","Cambiemos",0.45,0.257,0.603,0.449,0.328,0.215,0.563,0.664,0.258,0.303
"P16","Liberales",0.172,0.169,0.197,0.149,0,0.041,0.159,0,0.058,0
"P16","Izquierda",0.022,0.031,0.041,0.028,0,0.12,0,0,0.041,0
"P16","No sabe",0.059,0.16,0.062,0.019,0.18,0.161,0.153,0,0.154,0.05
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.299,0.261,0.125,0.214,0.749,0.457,0.125,0.438,0.506,0.592
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.423,0.288,0.613,0.49,0.071,0.231,0.581,0.475,0.214,0.267
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.171,0.23,0.17,0.258,0,0.113,0.141,0,0.084,0.035
"P17","La candidata a Jefe de Gobierno de la izquierda",0.026,0.05,0.034,0.021,0,0.106,0,0.087,0.017,0
"P17","En blanco",0.019,0.082,0.034,0.017,0.18,0.014,0,0,0.127,0
"P17","No sabe",0.062,0.089,0.024,0,0,0.079,0.153,0,0.052,0.106
"P26","Totalmente seguro",0.707,0.598,0.778,0.71,0.319,0.7,0.354,0.918,0.73,0.548
"P26","Bastante seguro",0.143,0.206,0.13,0.194,0,0.064,0.329,0,0.106,0.078
"P26","Algo seguro",0.114,0.085,0.059,0.077,0.681,0.188,0.158,0.082,0.079,0.332
"P26","Para nada seguro",0.036,0.111,0.033,0.019,0,0.048,0.159,0,0.085,0.042
"P27","Tiene Decidido que va a ir a votar",0.936,0.891,0.967,0.956,0.701,0.926,0.699,1,0.869,0.946
"P27","Tiene dudas sobre si va a ir a  votar",0.056,0.101,0.026,0.019,0.23,0.074,0.301,0,0.093,0.054
"P27","Tiene Decidido que no va a ir a votar",0.008,0.008,0.007,0.025,0.069,0,0,0,0.038,0
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.376,0.536,0.138,0.388,0.823,0.657,0.122,0.431,0.44,0.595
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.455,0.262,0.638,0.509,0.136,0.252,0.878,0.522,0.283,0.314
"P28","En blanco",0.083,0.074,0.129,0.049,0.041,0.025,0,0,0.184,0
"P28","No sabe",0.086,0.128,0.095,0.054,0,0.066,0,0.047,0.093,0.091
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.48,0.523,0.588,0.521,0.412,0.452,0.716,0.568,0.433,0.326
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.247,0.24,0.32,0.248,0,0.029,0.079,0,0.15,0.092
"P29","En blanco",0.174,0.114,0.057,0.165,0.36,0.349,0,0.331,0.342,0.23
"P29","No sabe",0.099,0.123,0.035,0.066,0.228,0.17,0.205,0.101,0.075,0.352
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.396,0.582,0.133,0.412,0.823,0.693,0.075,0.478,0.472,0.568
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.349,0.273,0.422,0.245,0,0.079,0.538,0,0.156,0.229
"P30","En blanco",0.189,0.063,0.309,0.195,0.177,0.122,0,0.286,0.224,0.078
"P30","No sabe",0.066,0.082,0.136,0.148,0,0.106,0.387,0.236,0.148,0.125
"P10_imputada","Unión por la Patria",0.324,0.39,0.094,0.262,0.302,0.513,0.122,0.478,0.399,0.55
"P10_imputada","Juntos por el Cambio",0.384,0.251,0.586,0.48,0.16,0.227,0.725,0.522,0.324,0.265
"P10_imputada","De los liberales libertarios",0.217,0.252,0.241,0.188,0.42,0.168,0.153,0,0.046,0.077
"P10_imputada","De la Izquierda",0.008,0.054,0.032,0.052,0.077,0.082,0,0,0.147,0.018
"P10_imputada","Hacemos por nuestro país",0.043,0,0.03,0.01,0,0,0,0,0.028,0
"P10_imputada","Otro",0.017,0.048,0.008,0.008,0.041,0.01,0,0,0.056,0.048
"P10_imputada","En blanco",0.007,0.005,0.009,0,0,0,0,0,0,0.042
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.321,0.442,0.087,0.264,0.941,0.468,0.122,0.431,0.411,0.378
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.395,0.286,0.567,0.511,0.018,0.197,0.725,0.522,0.259,0.506
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.212,0.218,0.263,0.168,0,0.241,0.153,0,0.091,0.067
