"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.263,0.239,0.283,0.28,0.34,0.224,0.153,0.315,0.225,0.273,0.672,0.097,0.172,0.761,0.641,0.056,0.194,0.088
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.379,0.342,0.41,0.159,0.312,0.537,0.595,0.25,0.364,0.437,0.1,0.595,0.364,0.102,0.128,0.817,0.515,0.042
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.229,0.297,0.173,0.43,0.211,0.137,0.115,0.228,0.269,0.199,0.118,0.23,0.242,0.085,0.106,0.077,0.128,0.801
"Los candidatos a presidente y vicepresidente de la izquierda",0.04,0.037,0.042,0.052,0.043,0.035,0.023,0.056,0.036,0.037,0.038,0.011,0.019,0.02,0.046,0.016,0.016,0.006
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.037,0.039,0.036,0.033,0.041,0.027,0.047,0.063,0.039,0.027,0.027,0.032,0.116,0.016,0.058,0.007,0.083,0.037
"En blanco",0.013,0.01,0.015,0,0.012,0.016,0.027,0.021,0.019,0.006,0.011,0.011,0,0.007,0.013,0.004,0.021,0.008
"No sabe",0.039,0.036,0.041,0.046,0.041,0.024,0.04,0.067,0.048,0.021,0.034,0.024,0.087,0.009,0.008,0.023,0.043,0.018
