"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P05","Mucho",0.535,0.385,0.32,0.299,0.463,0.324
"P05","Bastante",0.281,0.329,0.382,0.42,0.187,0.307
"P05","Poco",0.115,0.221,0.224,0.065,0.201,0.251
"P05","Nada",0.069,0.054,0.046,0.216,0.149,0.083
"P05","No sabe",0,0.011,0.028,0,0,0.035
"P06","Siempre",0.227,0.243,0.131,0.272,0.277,0.221
"P06","Casi siempre",0.41,0.381,0.37,0.276,0.22,0.306
"P06","Casi nunca",0.261,0.273,0.36,0.259,0.299,0.3
"P06","Nunca, pero esta es una excepción",0.102,0.103,0.139,0.193,0.204,0.173
"P10","Unión por la Patria",0.549,0.498,0.241,0.066,0.187,0.388
"P10","Juntos por el Cambio",0.074,0.117,0.367,0.361,0.332,0.182
"P10","De los Liberales libertarios",0.18,0.152,0.212,0.485,0.222,0.121
"P10","De la Izquierda",0.054,0.043,0.059,0,0,0.005
"P10","Hacemos por nuestro país",0.022,0.037,0.012,0.008,0,0.009
"P10","En blanco",0.102,0.098,0.028,0,0.047,0.064
"P10","No sabe",0.019,0.055,0.081,0.08,0.212,0.231
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.596,0.528,0.355,0.151,0.276,0.389
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.082,0.135,0.282,0.347,0.206,0.18
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.204,0.188,0.264,0.466,0.3,0.164
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.007,0.022,0.011,0.008,0,0.011
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.023,0.021,0.02,0.028,0,0.053
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.069,0.031,0.009,0,0.081,0.006
"P13","En blanco",0.01,0.041,0.012,0,0.013,0.011
"P13","No sabe",0.009,0.034,0.047,0,0.124,0.186
"P16","Si",0.263,0.358,0.468,0.473,0.417,0.435
"P16","No",0.737,0.642,0.532,0.527,0.583,0.565
"P17","Sergio Massa a presidente por Unión por la Patria.",0.665,0.399,0.279,0.01,0.572,0.424
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.099,0.152,0.371,0.098,0.233,0.118
"P17","Javier Milei a presidente por la Libertad Avanza",0.102,0.264,0.234,0.878,0.09,0.263
"P17","Los candidatos a presidente de la Izquierda",0.134,0.009,0.015,0,0,0.012
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.031,0.031,0.014,0.105,0.018
"P17","En blanco",0,0.123,0.019,0,0,0
"P17","No sabe",0,0.022,0.051,0,0,0.165
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.796,0.567,0.393,0.053,0.637,0.54
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.078,0.149,0.341,0.377,0.145,0.171
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.048,0.222,0.087,0.537,0.218,0.096
"P20","El candidato a gobernador de la Izquierda",0.045,0.033,0.034,0,0,0
"P20","En blanco",0,0,0.02,0.033,0,0.01
"P20","No sabe",0.033,0.029,0.125,0,0,0.183
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.298,0.398,0.205,0.019,0.261,0.348
"P23","Zencich a intendente por Juntos por el Cambio",0.099,0.233,0.205,0.111,0.374,0.08
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.233,0.107,0.092,0.524,0.037,0.081
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.081,0.062,0.121,0.316,0.034,0.071
"P23","El candidato a intendente de la Izquierda",0.204,0.153,0.205,0,0.294,0.094
"P23","En blanco",0.085,0.047,0.101,0.018,0,0
"P23","No sabe",0,0,0.071,0.012,0,0.326
"P26","Totalmente seguro.",0.662,0.728,0.661,0.745,0.751,0.525
"P26","Bastante seguro",0.266,0.142,0.195,0.178,0.019,0.161
"P26","Algo seguro",0.039,0.065,0.092,0.004,0.124,0.118
"P26","Para nada seguro",0.033,0.065,0.052,0.073,0.106,0.196
"P27","Tiene Decidido que va a ir a votar.",0.892,0.908,0.963,0.991,0.864,0.87
"P27","Tiene dudas sobre si va a ir a  votar",0.073,0.066,0.031,0.009,0.019,0.096
"P27","Tiene Decidido que no va a ir a votar",0.035,0.026,0.006,0,0.117,0.034
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.407,0.176,0.51,0.889,0.624,0.372
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.107,0.19,0.17,0.015,0.2,0.148
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.298,0.347,0.166,0.084,0.052,0.228
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.067,0.14,0.067,0.008,0,0.038
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.115,0.06,0.034,0,0.124,0.096
"P28","No sabe",0.006,0.087,0.053,0.004,0,0.118
"P29","No estaba enterado del tema",0.125,0.059,0.109,0.047,0.134,0.148
"P29","Un tema de la vida privada de él",0.118,0.215,0.102,0.023,0.061,0.039
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.515,0.397,0.251,0.055,0.135,0.161
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.151,0.091,0.145,0.457,0.485,0.248
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.076,0.169,0.361,0.401,0.185,0.279
"P29","No sabe",0.015,0.069,0.032,0.017,0,0.125
"P30","Si",0.835,0.814,0.847,0.947,0.756,0.807
"P30","No",0.165,0.186,0.153,0.053,0.244,0.193
"P31","Sergio Massa",0.611,0.379,0.276,0.171,0.274,0.362
"P31","Patria Bullrich",0.08,0.089,0.22,0.174,0.267,0.157
"P31","Javier Milei",0.18,0.204,0.276,0.538,0.353,0.201
"P31","Myriam Bregman",0.117,0.24,0.182,0.067,0.075,0.213
"P31","Juan Schiaretti",0.012,0.088,0.046,0.05,0.031,0.067
"P32","Ha aumentado significativamente",0.238,0.136,0.036,0.003,0.033,0.14
"P32","Ha aumentado ligeramente",0.259,0.293,0.132,0.138,0.073,0.251
"P32","Se mantiene igual",0.148,0.362,0.442,0.215,0.339,0.143
"P32","Ha disminuido ligeramente",0.157,0.125,0.243,0.123,0.149,0.227
"P32","Ha disminuido significativamente",0.198,0.084,0.147,0.521,0.406,0.239
"P33","No, ninguna dificultad",0.3,0.284,0.265,0.122,0.122,0.179
"P33","Alguna dificultad ocasional",0.339,0.485,0.375,0.25,0.216,0.358
"P33","Sí, dificultades frecuentes",0.361,0.231,0.36,0.628,0.662,0.463
"P34","Sí, absolutamente",0.666,0.567,0.436,0.238,0.527,0.513
"P34","Sí, en cierta medida",0.167,0.319,0.354,0.225,0.106,0.355
"P34","No, en absoluto",0.167,0.114,0.21,0.537,0.367,0.132
"P35","Reducir la inflación",0.53,0.334,0.294,0.168,0.295,0.473
"P35","Implementar reformas fiscales",0.052,0.171,0.076,0.01,0.151,0.024
"P35","Establecer políticas de control de precios",0.224,0.26,0.179,0.135,0.168,0.149
"P35","Reducir el gasto público",0.148,0.198,0.344,0.687,0.361,0.264
"P35","Estimular la inversión extranjera",0.03,0.035,0.054,0,0.025,0.035
"P35","Aumentar los subsidios a los servicios públicos",0.016,0.002,0.053,0,0,0.055
"P37","Muy positiva",0.695,0.434,0.271,0.228,0.21,0.385
"P37","Positiva",0.084,0.375,0.277,0.056,0.205,0.148
"P37","Neutral",0.111,0.138,0.382,0.206,0.05,0.205
"P37","Algo negativa",0.021,0.016,0.036,0.198,0.201,0.02
"P37","Negativa",0.089,0.004,0.019,0.312,0.24,0.022
"P37","No sabe",0,0.033,0.015,0,0.094,0.22
"P38","Muy positiva",0.487,0.249,0.073,0.151,0.183,0.219
"P38","Positiva",0.275,0.363,0.171,0.076,0,0.216
"P38","Neutral",0.075,0.205,0.479,0.331,0.261,0.166
"P38","Algo negativa",0.034,0.104,0.144,0.184,0.2,0.026
"P38","Negativa",0.069,0.025,0.094,0.178,0.288,0.111
"P38","No sabe",0.06,0.054,0.039,0.08,0.068,0.262
"P39","Muy positiva",0.703,0.46,0.336,0.257,0.203,0.469
"P39","Positiva",0.19,0.432,0.21,0.099,0.121,0.172
"P39","Neutral",0.059,0.071,0.341,0.405,0.181,0.239
"P39","Algo negativa",0.018,0.029,0.082,0.032,0.118,0.011
"P39","Negativa",0.004,0.006,0.028,0.207,0.34,0.021
"P39","No sabe",0.026,0.002,0.003,0,0.037,0.088
"P40","Muy positiva",0.733,0.51,0.291,0.122,0.313,0.247
"P40","Positiva",0.067,0.383,0.26,0.162,0.027,0.216
"P40","Neutral",0.146,0.047,0.304,0.434,0.157,0.188
"P40","Algo negativa",0.016,0.033,0.071,0.025,0.121,0.045
"P40","Negativa",0.006,0.027,0.007,0.188,0.365,0.047
"P40","No sabe",0.032,0,0.067,0.069,0.017,0.257
"P41","Lo votaría",0.601,0.502,0.225,0.069,0.089,0.368
"P41","Puede que lo vote",0.049,0.117,0.095,0,0,0.129
"P41","Nunca lo votaría",0.31,0.327,0.565,0.931,0.638,0.395
"P41","No sabe",0.04,0.054,0.115,0,0.273,0.108
"P42","Lo votaría",0.046,0.131,0.25,0.237,0.231,0.162
"P42","Puede que lo vote",0.094,0.078,0.147,0.107,0.171,0.06
"P42","Nunca lo votaría",0.817,0.721,0.521,0.599,0.355,0.582
"P42","No sabe",0.043,0.07,0.082,0.057,0.243,0.196
"P43","Lo votaría",0.224,0.176,0.26,0.469,0.225,0.133
"P43","Puede que lo vote",0.009,0.091,0.105,0.038,0.031,0.124
"P43","Nunca lo votaría",0.763,0.705,0.563,0.472,0.587,0.662
"P43","No sabe",0.004,0.028,0.072,0.021,0.157,0.081
"P44","Lo votaría",0.081,0.041,0.054,0.382,0.103,0.157
"P44","Puede que lo vote",0.125,0.153,0.124,0.072,0.019,0.075
"P44","Nunca lo votaría",0.739,0.702,0.777,0.489,0.656,0.507
"P44","No sabe",0.055,0.104,0.045,0.057,0.222,0.261
"P45","Si",0.489,0.313,0.411,0.33,0.262,0.413
"P45","No",0.511,0.687,0.589,0.67,0.738,0.587
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.606,0.554,0.362,0.151,0.282,0.388
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.071,0.131,0.315,0.355,0.297,0.175
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.213,0.217,0.249,0.49,0.381,0.191
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.033,0.021,0.022,0,0,0.053
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.061,0.031,0.014,0.004,0.027,0.011
"PRESIDENTE","En blanco",0.009,0.041,0.014,0,0.013,0.008
"PRESIDENTE","No sabe",0.007,0.005,0.024,0,0,0.174
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.634,0.608,0.405,0.16,0.294,0.444
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.07,0.126,0.29,0.493,0.264,0.194
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.202,0.2,0.211,0.336,0.429,0.119
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.009,0.037,0.032,0,0,0.048
"GOBERNADOR","En blanco",0.071,0.022,0.018,0.011,0.013,0.013
"GOBERNADOR","No sabe",0.014,0.007,0.044,0,0,0.182
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",0.5,0.532,0.285,0.154,0.209,0.357
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.077,0.167,0.227,0.361,0.306,0.159
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.238,0.156,0.219,0.328,0.306,0.112
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.026,0.043,0.073,0.145,0.011,0.037
"INTENDENTE","El candidato a intendente de la Izquierda",0.042,0.06,0.122,0,0.155,0.084
"INTENDENTE","En blanco",0.11,0.042,0.041,0.008,0.013,0.008
"INTENDENTE","No sabe",0.007,0,0.033,0.004,0,0.243
"CORTA_PRESIDENTE","Si",0.05,0.101,0.115,0.055,0.243,0.073
"CORTA_PRESIDENTE","No",0.95,0.899,0.885,0.945,0.757,0.927
"CORTA_GOBERNADOR","Si",0.065,0.171,0.149,0.202,0.247,0.111
"CORTA_GOBERNADOR","No",0.935,0.829,0.851,0.798,0.753,0.889
"CORTA_INTENDENTE","Si",0.143,0.219,0.324,0.188,0.319,0.197
"CORTA_INTENDENTE","No",0.857,0.781,0.676,0.812,0.681,0.803
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.596,0.533,0.372,0.151,0.276,0.51
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.082,0.162,0.304,0.347,0.206,0.218
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.211,0.188,0.272,0.466,0.3,0.191
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.007,0.024,0.011,0.008,0,0.011
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.025,0.021,0.02,0.028,0,0.053
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.069,0.031,0.009,0,0.081,0.006
"P13_imputada","En blanco",0.01,0.041,0.012,0,0.137,0.011
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.665,0.421,0.321,0.01,0.572,0.53
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.099,0.152,0.371,0.098,0.233,0.139
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.102,0.264,0.234,0.878,0.09,0.277
"P17_imputada","Los candidatos a presidente de la Izquierda",0.134,0.009,0.02,0,0,0.012
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.031,0.035,0.014,0.105,0.042
"P17_imputada","En blanco",0,0.123,0.019,0,0,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.796,0.59,0.436,0.053,0.637,0.57
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.111,0.155,0.353,0.377,0.145,0.2
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.048,0.222,0.087,0.537,0.218,0.108
"P20_imputada","El candidato a gobernador de la Izquierda",0.045,0.033,0.034,0,0,0
"P20_imputada","En blanco",0,0,0.09,0.033,0,0.122
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.298,0.398,0.207,0.019,0.261,0.481
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0.099,0.233,0.249,0.123,0.374,0.109
"P23_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.233,0.107,0.109,0.524,0.037,0.186
"P23_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.081,0.062,0.121,0.316,0.034,0.091
"P23_imputada","El candidato a intendente de la Izquierda",0.204,0.153,0.205,0,0.294,0.106
"P23_imputada","En blanco",0.085,0.047,0.109,0.018,0,0.027
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.606,0.559,0.379,0.151,0.282,0.499
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.071,0.131,0.315,0.355,0.297,0.194
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.218,0.217,0.249,0.49,0.381,0.218
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.035,0.021,0.026,0,0,0.053
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.061,0.031,0.017,0.004,0.027,0.028
"PRESIDENTE_imputada","En blanco",0.009,0.041,0.014,0,0.013,0.008
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.634,0.613,0.423,0.16,0.294,0.53
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.077,0.128,0.295,0.493,0.264,0.221
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.207,0.2,0.211,0.336,0.429,0.137
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.011,0.037,0.032,0,0,0.048
"GOBERNADOR_imputada","En blanco",0.071,0.022,0.039,0.011,0.013,0.064
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.5,0.532,0.286,0.154,0.209,0.486
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.077,0.167,0.244,0.365,0.306,0.18
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.243,0.156,0.229,0.328,0.306,0.173
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.026,0.043,0.073,0.145,0.011,0.047
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.044,0.06,0.122,0,0.155,0.088
"INTENDENTE_imputada","En blanco",0.11,0.042,0.046,0.008,0.013,0.026
