"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Siempre",0.164,0.166,0.162,0.142,0.142,0.192,0.23,0.18,0.135,0.202,0.187,0.174,0.194,0.221,0.144,0.135,0.233,0.218,0.173,0.083,0.226
"Casi siempre",0.246,0.271,0.222,0.149,0.228,0.36,0.319,0.2,0.252,0.347,0.267,0.229,0.238,0.232,0.246,0.248,0.262,0.381,0.291,0.216,0.188
"Casi nunca",0.401,0.362,0.439,0.455,0.44,0.31,0.325,0.392,0.453,0.279,0.344,0.383,0.419,0.353,0.466,0.358,0.398,0.242,0.321,0.599,0.36
"Nunca, pero esta es una excepción",0.189,0.201,0.177,0.254,0.19,0.138,0.126,0.228,0.16,0.172,0.202,0.214,0.149,0.194,0.144,0.259,0.107,0.159,0.215,0.102,0.226
