"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P05","Mucho",0.496,0.376,0.283,0.287,0.48,0.384
"P05","Bastante",0.343,0.369,0.375,0.42,0.2,0.187
"P05","Poco",0.118,0.192,0.244,0.154,0.161,0.328
"P05","Nada",0.043,0.037,0.09,0.12,0.152,0.039
"P05","No sabe",0,0.026,0.008,0.019,0.007,0.062
"P06","Siempre",0.319,0.155,0.137,0.173,0.255,0.276
"P06","Casi siempre",0.354,0.448,0.328,0.44,0.219,0.214
"P06","Casi nunca",0.209,0.314,0.419,0.289,0.197,0.272
"P06","Nunca, pero esta es una excepción",0.118,0.083,0.116,0.098,0.329,0.238
"P10","Unión por la Patria",0.565,0.54,0.25,0.044,0.019,0.487
"P10","Juntos por el Cambio",0.088,0.084,0.288,0.346,0.537,0.173
"P10","De los Liberales libertarios",0.072,0.157,0.265,0.428,0.292,0.099
"P10","De la Izquierda",0.03,0.013,0.063,0,0.004,0.048
"P10","Hacemos por nuestro país",0.016,0.026,0.006,0.011,0.03,0.007
"P10","En blanco",0.128,0.059,0.045,0.027,0.011,0.04
"P10","No sabe",0.101,0.121,0.083,0.144,0.107,0.146
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.646,0.583,0.273,0.235,0.034,0.508
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.057,0.105,0.265,0.252,0.46,0.176
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.112,0.153,0.323,0.498,0.277,0.182
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.022,0.011,0.003,0.004,0.014,0.003
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.073,0,0.025,0,0.021,0.01
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.059,0.019,0.004,0.011,0.075,0.004
"P13","En blanco",0,0,0.047,0,0,0.026
"P13","No sabe",0.031,0.129,0.06,0,0.119,0.091
"P16","Si",0.32,0.307,0.564,0.336,0.335,0.414
"P16","No",0.68,0.693,0.436,0.664,0.665,0.586
"P17","Sergio Massa a presidente por Unión por la Patria.",0.582,0.663,0.193,0.305,0.095,0.497
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.094,0.16,0.305,0.257,0.151,0.075
"P17","Javier Milei a presidente por la Libertad Avanza",0.186,0.062,0.343,0.438,0.317,0.374
"P17","Los candidatos a presidente de la Izquierda",0.085,0.013,0.013,0,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.03,0,0.048,0,0.079,0.022
"P17","En blanco",0,0,0.078,0,0,0
"P17","No sabe",0.023,0.102,0.02,0,0.358,0.032
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.667,0.759,0.348,0.305,0.149,0.702
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.16,0.05,0.307,0.299,0.309,0.162
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.095,0.078,0.268,0.162,0.194,0.063
"P20","El candidato a gobernador de la Izquierda",0.005,0.013,0.037,0,0,0
"P20","En blanco",0,0,0.02,0,0,0.019
"P20","No sabe",0.073,0.1,0.02,0.234,0.348,0.054
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.338,0.372,0.256,0.014,0.128,0.302
