"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Gustavo Menéndez a intendente por Unión por la Patria.",0.356,0.359,0.353,0.241,0.36,0.436,0.412,0.421,0.332,0.27,0.29,0.445,0.197,0.282,0.387,0.352,0.859,0.046,0.035,0.028,0.101
"Zencich a intendente por Juntos por el Cambio",0.183,0.149,0.216,0.08,0.166,0.262,0.276,0.167,0.192,0.197,0.222,0.149,0.32,0.209,0.142,0.216,0.018,0.505,0.767,0.084,0.104
"Eduardo Varela a intendente por la Libertad Avanza",0.2,0.31,0.095,0.23,0.251,0.152,0.097,0.174,0.215,0.221,0.266,0.135,0.363,0.137,0.205,0.164,0.056,0.162,0.089,0.705,0.216
"Raul Othacehé a intendente por el frente vecinal crecer",0.066,0.04,0.09,0.123,0.04,0.032,0.086,0.068,0.068,0.054,0.032,0.012,0.073,0.058,0.103,0.092,0.003,0.094,0.042,0.099,0.32
"El candidato a intendente de la Izquierda",0.068,0.059,0.078,0.093,0.094,0.021,0.038,0.034,0.068,0.144,0.07,0.097,0,0.084,0.065,0.049,0.014,0.087,0,0.059,0.016
"En blanco",0.046,0.041,0.05,0.104,0.015,0.042,0.032,0.067,0.014,0.077,0.04,0.076,0.024,0.065,0.017,0.08,0.006,0.095,0.014,0.005,0.133
"No sabe",0.081,0.042,0.118,0.129,0.074,0.055,0.059,0.069,0.111,0.037,0.08,0.086,0.023,0.165,0.081,0.047,0.044,0.011,0.053,0.02,0.11
