"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.361,0.412,0.296,0.231
"P05","Bastante",0.343,0.296,0.266,0.222
"P05","Poco",0.186,0.149,0.417,0.173
"P05","Nada",0.088,0.094,0,0.295
"P05","No sabe",0.022,0.049,0.021,0.079
"P06","Siempre",0.232,0.162,0.092,0.137
"P06","Casi siempre",0.311,0.344,0.292,0.152
"P06","Casi nunca",0.321,0.332,0.374,0.443
"P06","Nunca, pero esta es una excepción",0.136,0.162,0.242,0.268
"P10","Unión por la Patria",0.356,0.35,0.514,0.165
"P10","Juntos por el Cambio",0.212,0.296,0.164,0.097
"P10","De los Liberales libertarios",0.268,0.09,0.125,0.031
"P10","De la Izquierda",0.037,0.088,0.048,0.044
"P10","Hacemos por nuestro país",0.016,0.005,0,0
"P10","En blanco",0.047,0.104,0,0.13
"P10","No sabe",0.064,0.067,0.149,0.533
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.455,0.349,0.404,0.24
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.182,0.309,0.109,0.062
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.275,0.194,0.271,0.063
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.009,0.021,0.032,0.03
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.029,0.057,0.037,0.014
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.007,0.054,0,0.071
"P13","En blanco",0.012,0,0,0.084
"P13","No sabe",0.031,0.016,0.147,0.436
"P16","Si",0.398,0.281,0.719,0.597
"P16","No",0.602,0.719,0.281,0.403
"P17","Sergio Massa a presidente por Unión por la Patria.",0.405,0.344,0.21,0.242
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.134,0.348,0.271,0.088
"P17","Javier Milei a presidente por la Libertad Avanza",0.311,0.265,0.417,0.063
"P17","Los candidatos a presidente de la Izquierda",0.051,0.02,0.032,0.062
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.037,0,0.029,0.007
"P17","En blanco",0.028,0,0,0.077
"P17","No sabe",0.034,0.023,0.041,0.461
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.495,0.548,0.478,0.154
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.207,0.233,0.137,0.105
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.197,0.072,0.319,0.16
"P20","El candidato a gobernador de la Izquierda",0.046,0.017,0.018,0.009
"P20","En blanco",0.006,0,0,0.067
"P20","No sabe",0.049,0.13,0.048,0.505
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.215,0.277,0.412,0.213
"P23","Zencich a intendente por Juntos por el Cambio",0.173,0.201,0.106,0.078
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.192,0.14,0.141,0.011
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.106,0.191,0.151,0.085
"P23","El candidato a intendente de la Izquierda",0.184,0.021,0.149,0.038
"P23","En blanco",0.053,0.155,0,0.029
"P23","No sabe",0.077,0.015,0.041,0.546
"P27","Tiene Decidido que va a ir a votar.",0.939,0.812,0.916,0.55
"P27","Tiene dudas sobre si va a ir a  votar",0.038,0.188,0.003,0.379
"P27","Tiene Decidido que no va a ir a votar",0.023,0,0.081,0.071
