"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Unión por la Patria",0.325,0.344,0.306,0.219,0.323,0.397,0.424,0.337,0.315,0.323,0.253,0.402,0.02,0.281,0.361,0.342,0.725,0.081,0.056,0.041,0.256
"Juntos por el Cambio",0.22,0.176,0.265,0.182,0.201,0.265,0.276,0.2,0.259,0.17,0.23,0.224,0.318,0.363,0.164,0.234,0.068,0.646,0.716,0.062,0.203
"De los Liberales libertarios",0.2,0.288,0.113,0.253,0.226,0.151,0.106,0.164,0.211,0.262,0.24,0.094,0.38,0.108,0.238,0.196,0.027,0.094,0.147,0.758,0.205
"De la Izquierda",0.062,0.035,0.089,0.081,0.058,0.052,0.052,0.05,0.052,0.118,0.027,0.077,0.011,0.006,0.093,0.062,0.003,0.084,0,0.112,0.032
"Hacemos por nuestro país",0.012,0.014,0.01,0.003,0.021,0.014,0.004,0.008,0.015,0.014,0.032,0,0,0.019,0.002,0.023,0.01,0.002,0.008,0.006,0.055
"En blanco",0.059,0.053,0.064,0.117,0.041,0.018,0.056,0.084,0.027,0.077,0.087,0.055,0.204,0.039,0.026,0.074,0.031,0.089,0.002,0.019,0.149
"No sabe",0.122,0.09,0.153,0.145,0.13,0.103,0.082,0.157,0.121,0.036,0.131,0.148,0.067,0.184,0.116,0.069,0.136,0.004,0.071,0.002,0.1
