"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P05","Mucho",0.372,0.312,0.419
"P05","Bastante",0.254,0.355,0.452
"P05","Poco",0.235,0.216,0.062
"P05","Nada",0.119,0.082,0.064
"P05","No sabe",0.02,0.035,0.003
"P06","Siempre",0.181,0.225,0.222
"P06","Casi siempre",0.339,0.315,0.277
"P06","Casi nunca",0.32,0.322,0.296
"P06","Nunca, pero esta es una excepción",0.16,0.138,0.205
"P10","Unión por la Patria",0.507,0.309,0.035
"P10","Juntos por el Cambio",0.153,0.236,0.324
"P10","De los Liberales libertarios",0.065,0.234,0.546
"P10","De la Izquierda",0.041,0.025,0.018
"P10","Hacemos por nuestro país",0.013,0.02,0.004
"P10","En blanco",0.096,0.06,0.009
"P10","No sabe",0.125,0.116,0.064
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.608,0.345,0.061
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.143,0.202,0.27
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.123,0.232,0.568
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.015,0.009,0.008
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.018,0.054,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.032,0.01,0.026
"P13","En blanco",0.025,0.003,0.005
"P13","No sabe",0.036,0.145,0.062
"P16","Si",0.436,0.445,0.276
"P16","No",0.564,0.555,0.724
"P17","Sergio Massa a presidente por Unión por la Patria.",0.496,0.297,0.079
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.219,0.165,0.203
"P17","Javier Milei a presidente por la Libertad Avanza",0.167,0.319,0.712
"P17","Los candidatos a presidente de la Izquierda",0.02,0.061,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.038,0.02,0.006
"P17","En blanco",0.053,0.002,0
"P17","No sabe",0.007,0.136,0
