"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.303,0.389,0.433,0.348,0.403,0.18
"P05","Bastante",0.343,0.333,0.298,0.336,0.243,0.245
"P05","Poco",0.205,0.143,0.163,0.197,0.14,0.373
"P05","Nada",0.127,0.111,0.058,0.119,0.06,0.178
"P05","No sabe",0.022,0.024,0.048,0,0.154,0.024
"P06","Siempre",0.213,0.178,0.19,0.315,0.3,0.037
"P06","Casi siempre",0.258,0.274,0.437,0.191,0.379,0.13
"P06","Casi nunca",0.326,0.333,0.317,0.278,0.247,0.669
"P06","Nunca, pero esta es una excepción",0.203,0.215,0.056,0.216,0.074,0.164
"P10","Unión por la Patria",0.12,0.246,0.793,0.508,0.396,0.358
"P10","Juntos por el Cambio",0.271,0.403,0.075,0.149,0.002,0.057
"P10","De los Liberales libertarios",0.385,0.177,0.015,0.014,0.139,0.105
"P10","De la Izquierda",0.022,0.015,0.031,0.074,0.233,0.007
"P10","Hacemos por nuestro país",0.01,0.013,0.02,0.003,0,0
"P10","En blanco",0.043,0.034,0.053,0.107,0.142,0.198
"P10","No sabe",0.149,0.112,0.013,0.145,0.088,0.275
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.15,0.417,0.807,0.745,0.306,0.504
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.268,0.275,0.047,0.019,0.142,0.066
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.442,0.175,0.026,0.047,0.22,0.171
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.017,0.016,0.006,0.003,0.029,0
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.006,0.007,0.013,0.044,0.194,0.007
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.031,0.031,0.031,0,0,0
"P13","En blanco",0.006,0.001,0.033,0.033,0,0.029
"P13","No sabe",0.08,0.078,0.037,0.109,0.109,0.223
"P16","Si",0.416,0.489,0.386,0.459,0.387,0.42
"P16","No",0.584,0.511,0.614,0.541,0.613,0.58
"P17","Sergio Massa a presidente por Unión por la Patria.",0.216,0.352,0.62,0.577,0.593,0.354
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.225,0.132,0.14,0.042,0.164,0.169
"P17","Javier Milei a presidente por la Libertad Avanza",0.447,0.341,0.09,0.018,0.054,0.036
"P17","Los candidatos a presidente de la Izquierda",0.001,0.009,0.022,0.201,0.168,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.032,0.027,0.028,0.034,0,0
"P17","En blanco",0.007,0.003,0.089,0.072,0,0
"P17","No sabe",0.072,0.136,0.011,0.056,0.021,0.441
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.312,0.346,0.808,0.479,0.743,0.424
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.29,0.285,0.042,0.01,0,0.109
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.237,0.206,0.089,0.383,0.164,0.017
"P20","El candidato a gobernador de la Izquierda",0.008,0.012,0.033,0,0.093,0
"P20","En blanco",0.007,0,0.012,0.072,0,0
"P20","No sabe",0.146,0.151,0.016,0.056,0,0.45
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.234,0.108,0.412,0.438,0.212,0.01
"P23","Zencich a intendente por Juntos por el Cambio",0.187,0.233,0.16,0.082,0,0.036
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.241,0.231,0.062,0.042,0,0.017
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.134,0.04,0.102,0.017,0.385,0.041
"P23","El candidato a intendente de la Izquierda",0.053,0.134,0.21,0.165,0.387,0.132
"P23","En blanco",0.058,0.006,0.037,0.137,0.008,0.264
"P23","No sabe",0.093,0.248,0.017,0.119,0.008,0.5
"P26","Totalmente seguro.",0.67,0.577,0.699,0.57,0.505,0.513
"P26","Bastante seguro",0.184,0.27,0.175,0.028,0.401,0.069
"P26","Algo seguro",0.057,0.017,0.078,0.075,0.083,0.15
"P26","Para nada seguro",0.089,0.136,0.048,0.327,0.011,0.268
"P27","Tiene Decidido que va a ir a votar.",0.876,0.867,0.956,0.695,0.855,0.794
"P27","Tiene dudas sobre si va a ir a  votar",0.095,0.121,0.022,0.292,0.145,0.132
"P27","Tiene Decidido que no va a ir a votar",0.029,0.012,0.022,0.013,0,0.074
"P29","No estaba enterado del tema",0.153,0.126,0.033,0.02,0.081,0.122
"P29","Un tema de la vida privada de él",0.039,0.182,0.181,0.312,0.014,0.038
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.121,0.126,0.643,0.332,0.397,0.016
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.338,0.275,0.043,0.062,0.166,0.246
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.346,0.193,0.043,0.196,0.314,0.193
"P29","No sabe",0.003,0.098,0.057,0.078,0.028,0.385
"P30","Si",0.82,0.826,0.808,0.775,0.744,0.657
"P30","No",0.18,0.174,0.192,0.225,0.256,0.343
"P31","Sergio Massa",0.181,0.281,0.669,0.449,0.38,0.496
"P31","Patria Bullrich",0.234,0.192,0.027,0.047,0.005,0.071
"P31","Javier Milei",0.467,0.246,0.04,0.014,0.271,0.137
"P31","Myriam Bregman",0.088,0.22,0.143,0.486,0.344,0.238
