"var","categoria","No estaba enterado del tema","Un tema de la vida privada de él","Un hecho vergonzoso de exclusiva responsabilidad de él","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa","No sabe"
"P05","Mucho",0.238,0.254,0.42,0.381,0.372,0.152
"P05","Bastante",0.383,0.239,0.335,0.314,0.377,0.168
"P05","Poco",0.262,0.266,0.212,0.127,0.134,0.283
"P05","Nada",0.099,0.211,0.021,0.122,0.081,0.335
"P05","No sabe",0.018,0.03,0.012,0.056,0.036,0.062
"P06","Siempre",0.166,0.399,0.14,0.199,0.21,0.114
"P06","Casi siempre",0.151,0.228,0.479,0.234,0.29,0.118
"P06","Casi nunca",0.323,0.302,0.268,0.413,0.343,0.485
"P06","Nunca, pero esta es una excepción",0.36,0.071,0.113,0.154,0.157,0.283
"P10","Unión por la Patria",0.262,0.444,0.689,0.142,0.102,0.455
"P10","Juntos por el Cambio",0.273,0.123,0.125,0.326,0.246,0.008
"P10","De los Liberales libertarios",0.101,0.117,0.05,0.308,0.442,0.016
"P10","De la Izquierda",0,0.041,0.033,0.066,0.04,0.076
"P10","Hacemos por nuestro país",0.005,0.042,0.008,0.01,0.006,0
"P10","En blanco",0.132,0.134,0.022,0.006,0.08,0.19
"P10","No sabe",0.227,0.099,0.073,0.142,0.084,0.255
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.366,0.648,0.753,0.176,0.102,0.638
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.204,0.09,0.054,0.351,0.239,0.029
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.227,0.116,0.099,0.323,0.462,0.043
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.009,0.011,0.013,0.017,0.015,0
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.002,0.009,0.02,0.009,0.062,0.019
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.132,0.012,0.007,0.027,0.002,0
"P13","En blanco",0,0.058,0,0,0.016,0.057
"P13","No sabe",0.06,0.056,0.054,0.097,0.102,0.214
"P16","Si",0.331,0.391,0.475,0.366,0.457,0.511
"P16","No",0.669,0.609,0.525,0.634,0.543,0.489
"P17","Sergio Massa a presidente por Unión por la Patria.",0.182,0.229,0.639,0.353,0.178,0.448
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.414,0.119,0.108,0.221,0.186,0.036
"P17","Javier Milei a presidente por la Libertad Avanza",0.404,0.269,0.187,0.265,0.444,0.07
"P17","Los candidatos a presidente de la Izquierda",0,0.076,0.037,0.013,0.02,0.025
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.137,0.012,0.003,0.031,0
"P17","En blanco",0,0.17,0,0,0.015,0.071
"P17","No sabe",0,0,0.017,0.145,0.126,0.35
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.472,0.644,0.698,0.319,0.229,0.448
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.32,0.056,0.046,0.363,0.281,0.052
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.182,0.278,0.137,0.141,0.317,0
"P20","El candidato a gobernador de la Izquierda",0,0,0.015,0.031,0.007,0.079
"P20","En blanco",0,0,0.006,0.003,0.01,0.071
"P20","No sabe",0.026,0.022,0.098,0.143,0.156,0.35
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.388,0.444,0.324,0.084,0.21,0.071
