"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa",0.354,0.311,0.398,0.276,0.327,0.409,0.488,0.431,0.316,0.28,0.312,0.384,0.092,0.329,0.383,0.409,0.677,0.346,0.11,0.03,0.212
"Patria Bullrich",0.143,0.09,0.195,0.104,0.133,0.129,0.267,0.141,0.145,0.142,0.159,0.099,0.422,0.185,0.138,0.066,0.034,0.325,0.449,0.091,0.227
"Javier Milei",0.275,0.397,0.153,0.419,0.281,0.219,0.074,0.316,0.244,0.262,0.343,0.28,0.397,0.279,0.211,0.293,0.067,0.095,0.239,0.803,0.333
"Myriam Bregman",0.176,0.141,0.21,0.161,0.221,0.212,0.023,0.083,0.223,0.263,0.106,0.218,0,0.112,0.218,0.21,0.166,0.189,0.117,0.046,0.216
"Juan Schiaretti",0.052,0.061,0.044,0.04,0.038,0.031,0.148,0.029,0.072,0.053,0.08,0.019,0.089,0.095,0.05,0.022,0.056,0.045,0.085,0.03,0.012
