"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","En blanco","No sabe"
"P05","Mucho",0.425,0.337,0.357,0.293,0.26,0.222,0.216
"P05","Bastante",0.329,0.302,0.472,0.359,0.124,0.145,0.215
"P05","Poco",0.158,0.266,0.13,0.081,0.474,0.236,0.249
"P05","Nada",0.055,0.08,0.032,0.127,0.142,0.351,0.25
"P05","No sabe",0.033,0.015,0.009,0.14,0,0.046,0.07
"P06","Siempre",0.202,0.225,0.156,0.078,0.113,0.296,0.151
"P06","Casi siempre",0.348,0.286,0.228,0.303,0.229,0.126,0.15
"P06","Casi nunca",0.358,0.318,0.491,0.445,0.576,0.19,0.425
"P06","Nunca, pero esta es una excepción",0.092,0.171,0.125,0.174,0.082,0.388,0.274
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.854,0.173,0.048,0.107,0.084,0.292,0.281
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.024,0.694,0.047,0.159,0.389,0.013,0.011
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.084,0.057,0.876,0.059,0,0.047,0.091
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.01,0.008,0.007,0.162,0.066,0.047,0.073
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0,0.009,0.447,0.092,0.133,0.006
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.021,0.002,0.003,0.369,0.168,0.002
"P13","En blanco",0,0.029,0,0.037,0,0.264,0.026
"P13","No sabe",0.024,0.018,0.011,0.026,0,0.036,0.51
"P16","Si",0.392,0.38,0.405,0.866,0.772,0.524,0.636
"P16","No",0.608,0.62,0.595,0.134,0.228,0.476,0.364
"P17","Sergio Massa a presidente por Unión por la Patria.",0.678,0.261,0.082,0.337,0.047,0.436,0.186
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.098,0.542,0.072,0.1,0.309,0.039,0.07
"P17","Javier Milei a presidente por la Libertad Avanza",0.189,0.169,0.844,0.061,0.211,0,0.151
"P17","Los candidatos a presidente de la Izquierda",0.006,0,0.002,0.446,0.016,0,0.031
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.025,0.026,0,0,0.417,0.011,0.127
"P17","En blanco",0,0,0,0.056,0,0.435,0
"P17","No sabe",0.004,0.002,0,0,0,0.079,0.435
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.832,0.24,0.089,0.502,0.343,0.747,0.291
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.031,0.691,0.227,0.043,0.044,0.041,0.015
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.116,0.066,0.678,0,0.152,0,0.093
"P20","El candidato a gobernador de la Izquierda",0.011,0,0,0.394,0.134,0,0
"P20","En blanco",0,0,0,0.046,0.074,0.069,0.015
"P20","No sabe",0.01,0.003,0.006,0.015,0.253,0.143,0.586
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.494,0.124,0.102,0.066,0.48,0.42,0.131
"P23","Zencich a intendente por Juntos por el Cambio",0.129,0.439,0.138,0.031,0.168,0.021,0.06
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.018,0.05,0.585,0.181,0.128,0.016,0.031
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.077,0.219,0.142,0.212,0.139,0.072,0.014
"P23","El candidato a intendente de la Izquierda",0.179,0.108,0.007,0.503,0,0,0.134
"P23","En blanco",0.032,0.02,0.002,0.007,0,0.451,0.114
"P23","No sabe",0.071,0.04,0.024,0,0.085,0.02,0.516
"P26","Totalmente seguro.",0.661,0.638,0.858,0.495,0.915,0.474,0.339
"P26","Bastante seguro",0.192,0.264,0.085,0.345,0.085,0.307,0.105
"P26","Algo seguro",0.095,0.049,0.04,0.063,0,0,0.079
"P26","Para nada seguro",0.052,0.049,0.017,0.097,0,0.219,0.477
"P27","Tiene Decidido que va a ir a votar.",0.941,0.899,0.917,0.711,0.889,0.687,0.717
"P27","Tiene dudas sobre si va a ir a  votar",0.042,0.059,0.066,0.275,0.111,0.241,0.247
"P27","Tiene Decidido que no va a ir a votar",0.017,0.042,0.017,0.014,0,0.072,0.036
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.153,0.563,0.769,0.23,0.422,0.277,0.53
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.111,0.295,0.125,0.055,0.191,0.075,0.141
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.461,0.071,0.014,0.144,0.367,0.155,0.02
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.103,0.049,0.005,0.12,0.02,0.108,0.081
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.092,0.001,0.05,0.438,0,0.164,0.057
"P28","No sabe",0.08,0.021,0.037,0.013,0,0.221,0.171
"P29","No estaba enterado del tema",0.085,0.141,0.051,0,0.052,0.214,0.201
"P29","Un tema de la vida privada de él",0.14,0.062,0.058,0.103,0.415,0.214,0.086
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.517,0.151,0.059,0.196,0.198,0.084,0.149
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.098,0.362,0.334,0.362,0.206,0.019,0.268
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.073,0.281,0.493,0.223,0.129,0.286,0.163
"P29","No sabe",0.087,0.003,0.005,0.116,0,0.183,0.133
"P30","Si",0.799,0.856,0.896,0.597,0.777,0.74,0.626
"P30","No",0.201,0.144,0.104,0.403,0.223,0.26,0.374
"P31","Sergio Massa",0.649,0.163,0.047,0.103,0.177,0.577,0.362
"P31","Patria Bullrich",0.019,0.512,0.031,0.128,0.175,0.081,0.089
"P31","Javier Milei",0.072,0.13,0.881,0.175,0.015,0.037,0.226
"P31","Myriam Bregman",0.233,0.125,0.015,0.58,0.225,0.08,0.307
"P31","Juan Schiaretti",0.027,0.07,0.026,0.014,0.408,0.225,0.016
"P32","Ha aumentado significativamente",0.174,0.072,0.002,0.078,0.197,0.368,0.11
"P32","Ha aumentado ligeramente",0.367,0.115,0.129,0.098,0.02,0.121,0.041
"P32","Se mantiene igual",0.296,0.346,0.267,0.096,0.354,0.177,0.358
"P32","Ha disminuido ligeramente",0.07,0.253,0.288,0.13,0.138,0.268,0.171
"P32","Ha disminuido significativamente",0.093,0.214,0.314,0.598,0.291,0.066,0.32
"P33","No, ninguna dificultad",0.357,0.229,0.087,0.212,0.181,0.217,0.133
"P33","Alguna dificultad ocasional",0.366,0.362,0.324,0.308,0.487,0.461,0.352
"P33","Sí, dificultades frecuentes",0.277,0.409,0.589,0.48,0.332,0.322,0.515
"P34","Sí, absolutamente",0.721,0.366,0.158,0.653,0.494,0.712,0.572
"P34","Sí, en cierta medida",0.259,0.334,0.333,0.235,0.451,0.263,0.315
"P34","No, en absoluto",0.02,0.3,0.509,0.112,0.055,0.025,0.113
"P35","Reducir la inflación",0.45,0.324,0.212,0.314,0.543,0.445,0.535
"P35","Implementar reformas fiscales",0.077,0.132,0.02,0.154,0.157,0,0.061
"P35","Establecer políticas de control de precios",0.359,0.041,0.019,0.392,0.111,0.091,0.199
"P35","Reducir el gasto público",0.057,0.406,0.74,0.13,0.16,0.133,0.147
"P35","Estimular la inversión extranjera",0.037,0.047,0.009,0.01,0.029,0.026,0.055
"P35","Aumentar los subsidios a los servicios públicos",0.02,0.05,0,0,0,0.305,0.003
"P36","Muy positiva",0.272,0.06,0.164,0.295,0.239,0.295,0.031
"P36","Positiva",0.262,0.101,0.147,0.25,0.426,0.299,0.095
"P36","Neutral",0.157,0.393,0.254,0.419,0.167,0.107,0.173
"P36","Algo negativa",0.015,0.138,0.206,0,0.04,0,0.06
"P36","Negativa",0.039,0.112,0.083,0,0,0.056,0.143
"P36","No sabe",0.255,0.196,0.146,0.036,0.128,0.243,0.498
"P37","Muy positiva",0.64,0.244,0.16,0.265,0.096,0.753,0.196
"P37","Positiva",0.232,0.231,0.161,0.412,0.697,0.005,0.147
"P37","Neutral",0.041,0.279,0.376,0.211,0.09,0.177,0.327
"P37","Algo negativa",0.017,0.079,0.115,0,0,0.034,0.031
