"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Si",0.279,0.224,0.332,0.451,0.206,0.202,0.259,0.246,0.29,0.327,0.278,0.174,0.154,0.271,0.337,0.305,0.168,0.277,0.2,0.23,0.572
"No",0.721,0.776,0.668,0.549,0.794,0.798,0.741,0.754,0.71,0.673,0.722,0.826,0.846,0.729,0.663,0.695,0.832,0.723,0.8,0.77,0.428
