"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Totalmente seguro.",0.64,0.665,0.616,0.625,0.632,0.671,0.637,0.57,0.637,0.811,0.717,0.511,0.555,0.607,0.663,0.683,0.609,0.587,0.636,0.807,0.695
"Bastante seguro",0.189,0.213,0.166,0.238,0.143,0.223,0.166,0.315,0.114,0.087,0.205,0.239,0.235,0.084,0.179,0.17,0.175,0.29,0.272,0.137,0.156
"Algo seguro",0.063,0.054,0.073,0.056,0.089,0.042,0.045,0.044,0.094,0.029,0.039,0.073,0,0.1,0.069,0.07,0.104,0.077,0.02,0.021,0.073
"Para nada seguro",0.108,0.068,0.145,0.081,0.136,0.064,0.152,0.071,0.155,0.073,0.039,0.177,0.21,0.209,0.089,0.077,0.112,0.046,0.072,0.035,0.076
