"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.393,0.364,0.42,0.289,0.397,0.444,0.493,0.425,0.373,0.369,0.283,0.453,0.206,0.313,0.445,0.45,0.797,0.145,0.08,0.038,0.371
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.186,0.148,0.223,0.125,0.154,0.249,0.278,0.18,0.191,0.187,0.205,0.14,0.209,0.272,0.158,0.225,0.029,0.629,0.727,0.062,0.133
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.228,0.339,0.12,0.298,0.26,0.201,0.056,0.224,0.224,0.247,0.257,0.225,0.373,0.136,0.219,0.22,0.095,0.14,0.098,0.763,0.223
"Raul Othacehé a intendente por el frente vecinal crecer",0.028,0.017,0.039,0.042,0.015,0.022,0.044,0.039,0.014,0.036,0.018,0.008,0.069,0.008,0.049,0.016,0.001,0,0.002,0.039,0.201
"Los candidatos a presidente, gobernador e intendente de la Izquierda",0.037,0.032,0.042,0.061,0.042,0.016,0.018,0.03,0.011,0.122,0.058,0.049,0,0.019,0.034,0.021,0.002,0.002,0,0.053,0.024
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.02,0.025,0.016,0.037,0.022,0.009,0.004,0.022,0.019,0.017,0.025,0.045,0.12,0.026,0,0.003,0.007,0.082,0.002,0.027,0.009
"En blanco",0.028,0.017,0.038,0.041,0.028,0.009,0.034,0.02,0.045,0.003,0.06,0.008,0,0.028,0.021,0.028,0.021,0,0,0.004,0.029
"No sabe",0.08,0.058,0.102,0.107,0.082,0.05,0.073,0.06,0.123,0.019,0.094,0.072,0.023,0.198,0.074,0.037,0.048,0.002,0.091,0.014,0.01
