"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Gustavo Menéndez a intendente por Unión por la Patria.",0.397,0.388,0.407,0.303,0.415,0.448,0.432,0.458,0.394,0.272,0.317,0.492,0.197,0.384,0.437,0.367,0.899,0.046,0.035,0.028,0.103
"Zencich a intendente por Juntos por el Cambio",0.191,0.15,0.23,0.08,0.176,0.277,0.281,0.167,0.207,0.205,0.227,0.149,0.32,0.247,0.144,0.235,0.017,0.505,0.82,0.084,0.104
"Eduardo Varela a intendente por la Libertad Avanza",0.213,0.316,0.115,0.264,0.251,0.169,0.103,0.181,0.237,0.229,0.266,0.145,0.363,0.159,0.232,0.165,0.059,0.164,0.089,0.719,0.307
"Raul Othacehé a intendente por el frente vecinal crecer",0.068,0.043,0.091,0.123,0.044,0.034,0.086,0.067,0.07,0.063,0.033,0.019,0.073,0.058,0.104,0.094,0.004,0.094,0.042,0.105,0.32
"El candidato a intendente de la Izquierda",0.071,0.06,0.081,0.093,0.096,0.026,0.041,0.037,0.07,0.146,0.074,0.097,0,0.087,0.065,0.059,0.014,0.094,0,0.059,0.03
"En blanco",0.06,0.043,0.076,0.137,0.018,0.046,0.057,0.09,0.022,0.085,0.083,0.098,0.047,0.065,0.018,0.08,0.007,0.097,0.014,0.005,0.136
