"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa a presidente por Unión por la Patria.",0.345,0.305,0.383,0.303,0.355,0.319,0.438,0.375,0.33,0.317,0.255,0.337,0.433,0.216,0.445,0.302,0.541,0.48,0.177,0.05,0.395
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.167,0.177,0.157,0.145,0.091,0.22,0.323,0.179,0.144,0.196,0.308,0.072,0.08,0.442,0.089,0.148,0.117,0.362,0.354,0.103,0.171
"Javier Milei a presidente por la Libertad Avanza",0.288,0.422,0.162,0.289,0.3,0.359,0.132,0.337,0.258,0.252,0.214,0.407,0.342,0.221,0.232,0.393,0.193,0.145,0.3,0.715,0.205
"Los candidatos a presidente de la Izquierda",0.048,0.023,0.072,0.05,0.08,0.023,0.003,0,0.04,0.171,0.016,0.074,0,0.005,0.074,0.023,0.006,0,0,0.089,0.02
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.044,0.038,0.05,0.061,0.044,0.038,0.025,0.05,0.048,0.022,0.103,0,0,0.016,0.053,0.023,0.027,0.009,0.076,0.043,0.157
"En blanco",0.029,0.022,0.036,0.027,0.057,0,0.006,0,0.058,0.023,0.035,0,0.145,0,0.031,0.061,0.038,0,0,0,0.027
"No sabe",0.079,0.013,0.14,0.125,0.073,0.041,0.073,0.059,0.122,0.019,0.069,0.11,0,0.1,0.076,0.05,0.078,0.004,0.093,0,0.025
