"var","categoria","Sergio Massa","Patria Bullrich","Javier Milei","Myriam Bregman","Juan Schiaretti"
"P05","Mucho",0.406,0.37,0.301,0.262,0.364
"P05","Bastante",0.3,0.193,0.433,0.398,0.177
"P05","Poco",0.163,0.279,0.206,0.151,0.224
"P05","Nada",0.113,0.146,0.058,0.118,0.11
"P05","No sabe",0.018,0.012,0.002,0.071,0.125
"P06","Siempre",0.242,0.255,0.124,0.149,0.253
"P06","Casi siempre",0.344,0.213,0.263,0.345,0.438
"P06","Casi nunca",0.284,0.33,0.425,0.318,0.188
"P06","Nunca, pero esta es una excepción",0.13,0.202,0.188,0.188,0.121
"P10","Unión por la Patria",0.632,0.046,0.091,0.457,0.182
"P10","Juntos por el Cambio",0.096,0.75,0.099,0.148,0.28
"P10","De los Liberales libertarios",0.028,0.046,0.683,0.019,0.104
"P10","De la Izquierda",0.012,0.037,0.027,0.138,0.011
"P10","Hacemos por nuestro país",0.006,0.014,0.001,0.014,0.087
"P10","En blanco",0.114,0.039,0.009,0.032,0.301
"P10","No sabe",0.112,0.068,0.09,0.192,0.035
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.822,0.062,0.034,0.558,0.245
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.04,0.705,0.078,0.174,0.292
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.04,0.075,0.775,0.046,0.091
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.005,0.038,0.008,0.015,0.004
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.038,0.009,0.005,0.051,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.031,0.037,0,0.001,0.164
"P13","En blanco",0,0.011,0.007,0.012,0.162
"P13","No sabe",0.024,0.063,0.093,0.143,0.042
"P16","Si",0.3,0.35,0.407,0.636,0.511
"P16","No",0.7,0.65,0.593,0.364,0.489
"P17","Sergio Massa a presidente por Unión por la Patria.",0.827,0.154,0.072,0.511,0.167
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.074,0.552,0.157,0.091,0.328
"P17","Javier Milei a presidente por la Libertad Avanza",0.072,0.128,0.763,0.052,0.064
"P17","Los candidatos a presidente de la Izquierda",0.013,0,0.005,0.108,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.01,0.048,0,0.049,0.116
"P17","En blanco",0,0.028,0.002,0.02,0.315
"P17","No sabe",0.004,0.09,0.001,0.169,0.01
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.811,0.226,0.21,0.663,0.602
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.093,0.582,0.243,0.075,0.212
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.066,0.038,0.462,0.046,0.06
"P20","El candidato a gobernador de la Izquierda",0.027,0,0.015,0.02,0.007
"P20","En blanco",0.003,0.012,0.004,0.02,0.016
"P20","No sabe",0,0.142,0.066,0.176,0.103
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.444,0.081,0.178,0.166,0.619
"P23","Zencich a intendente por Juntos por el Cambio",0.179,0.309,0.152,0.088,0.144
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.046,0.161,0.385,0.011,0.087
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.07,0.258,0.09,0.148,0.116
"P23","El candidato a intendente de la Izquierda",0.184,0,0.12,0.248,0.007
"P23","En blanco",0.075,0.059,0.065,0.036,0
"P23","No sabe",0.002,0.132,0.01,0.303,0.027
"P26","Totalmente seguro.",0.632,0.494,0.705,0.657,0.745
"P26","Bastante seguro",0.225,0.312,0.147,0.13,0.046
"P26","Algo seguro",0.089,0.033,0.089,0.053,0.065
"P26","Para nada seguro",0.054,0.161,0.059,0.16,0.144
"P27","Tiene Decidido que va a ir a votar.",0.922,0.87,0.874,0.855,0.89
"P27","Tiene dudas sobre si va a ir a  votar",0.049,0.059,0.118,0.14,0.086
"P27","Tiene Decidido que no va a ir a votar",0.029,0.071,0.008,0.005,0.024
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.215,0.692,0.717,0.211,0.243
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.124,0.21,0.14,0.195,0.181
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.402,0.04,0.031,0.172,0.495
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.083,0.021,0.003,0.181,0.005
