"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Gustavo Menéndez a intendente por Unión por la Patria.",0.305,0.323,0.287,0.274,0.31,0.385,0.207,0.396,0.31,0.116,0.215,0.513,0.461,0.205,0.322,0.104,0.865,0.096,0.068,0.073,0.011
"Zencich a intendente por Juntos por el Cambio",0.176,0.166,0.186,0.011,0.159,0.276,0.316,0.124,0.213,0.189,0.305,0.083,0.348,0.307,0.13,0.134,0.023,0.283,0.804,0.083,0.072
"Eduardo Varela a intendente por la Libertad Avanza",0.172,0.259,0.082,0.176,0.215,0.119,0.137,0.151,0.169,0.221,0.211,0.089,0,0.108,0.202,0.223,0.05,0.156,0.013,0.532,0.32
"Raul Othacehé a intendente por el frente vecinal crecer",0.122,0.076,0.169,0.24,0.06,0.069,0.192,0.161,0.102,0.091,0.06,0.037,0.142,0.144,0.16,0.242,0.011,0.223,0.088,0.174,0.429
"El candidato a intendente de la Izquierda",0.143,0.123,0.163,0.14,0.232,0.04,0.077,0.026,0.176,0.292,0.078,0.167,0,0.184,0.162,0.152,0.033,0.226,0,0.138,0.021
"En blanco",0.082,0.053,0.113,0.159,0.024,0.111,0.071,0.142,0.03,0.091,0.131,0.111,0.049,0.052,0.024,0.145,0.018,0.016,0.027,0,0.147
