"var","categoria","Sergio Massa por el Frente de todos","Manes por el Radicalismo en Cambiemos","Santilli por el Pro en Cambiemos","Florencio Randazzo","Espert por los liberales","Del Caño por el Frente de Izquierda"
"P08","Si",0.812,0.805,0.84,0.868,0.731,0.805
"P08","Puede ser",0.119,0.124,0.105,0.037,0.152,0.081
"P08","No",0.069,0.071,0.055,0.095,0.117,0.114
"P09","Sergio Massa por el Frente de todos",0.835,0.126,0.09,0.11,0.127,0.088
"P09","Jorge Macri por Cambiemos",0.082,0.688,0.812,0.138,0.197,0.099
"P09","Florencio Randazzo",0.04,0.078,0.049,0.691,0.05,0.03
"P09","Espert por los liberales",0.002,0.067,0.047,0.047,0.56,0.045
"P09","Del Caño por el Frente de Izquierda",0.041,0.041,0.002,0.014,0.066,0.738
"P11","Santiago Cafiero por el Frente de todos",0.775,0.088,0.11,0.176,0.095,0.185
"P11","Jorge Macri por Cambiemos",0.087,0.727,0.752,0.051,0.177,0.094
"P11","Florencio Randazzo",0.09,0.076,0.093,0.721,0.043,0.014
"P11","Espert por los liberales",0.021,0.071,0.038,0.052,0.61,0.075
"P11","Del Caño por el Frente de Izquierda",0.027,0.038,0.007,0,0.075,0.632
"P15","Santiago Cafiero por el Frente de todos",0.783,0.069,0.079,0.159,0.1,0.396
"P15","Manes por el Radicalismo en Cambiemos",0.058,0.714,0.156,0.035,0.072,0.022
"P15","Santilli por el Pro en Cambiemos",0.032,0.165,0.727,0.076,0.207,0.048
"P15","Florencio Randazzo",0.098,0.038,0.025,0.696,0.07,0.232
"P15","Espert por los liberales",0.001,0.013,0.01,0.034,0.499,0.052
"P15","Del Caño por el Frente de Izquierda",0.028,0.001,0.003,0,0.052,0.25
