"var","categoria","Santiago Cafiero por el Frente de todos","Manes por el Radicalismo en Cambiemos","Santilli por el Pro en Cambiemos","Florencio Randazzo","Espert por los liberales","Del Caño por el Frente de Izquierda"
"P08","Si",0.813,0.769,0.88,0.808,0.687,0.892
"P08","Puede ser",0.119,0.14,0.073,0.104,0.188,0.006
"P08","No",0.068,0.091,0.047,0.088,0.125,0.102
"P09","Sergio Massa por el Frente de todos",0.798,0.094,0.071,0.318,0.052,0.363
"P09","Jorge Macri por Cambiemos",0.078,0.715,0.781,0.135,0.14,0.018
"P09","Florencio Randazzo",0.045,0.079,0.05,0.439,0.026,0
"P09","Espert por los liberales",0.007,0.073,0.073,0.041,0.639,0
"P09","Del Caño por el Frente de Izquierda",0.072,0.039,0.025,0.067,0.143,0.619
"P11","Santiago Cafiero por el Frente de todos",0.846,0.057,0.093,0.165,0.011,0.113
"P11","Jorge Macri por Cambiemos",0.064,0.752,0.762,0.072,0.131,0.047
"P11","Florencio Randazzo",0.042,0.074,0.038,0.654,0.037,0.08
"P11","Espert por los liberales",0.014,0.07,0.091,0.046,0.663,0.106
"P11","Del Caño por el Frente de Izquierda",0.034,0.047,0.016,0.063,0.158,0.654
"P13","Sergio Massa por el Frente de todos",0.804,0.099,0.056,0.309,0.014,0.364
"P13","Manes por el Radicalismo en Cambiemos",0.042,0.724,0.173,0.07,0.073,0.006
"P13","Santilli por el Pro en Cambiemos",0.042,0.14,0.675,0.042,0.049,0.018
"P13","Florencio Randazzo",0.032,0.012,0.026,0.431,0.063,0
"P13","Espert por los liberales",0.016,0.019,0.057,0.034,0.724,0.104
"P13","Del Caño por el Frente de Izquierda",0.064,0.006,0.013,0.114,0.077,0.508
