"var","categoria","Totalmente de acuerdo","Algo de acuerdo","ni de acuerdo ni en desacuerdo","En desacuerdo","Totalmente en desacuerdo"
"P10","Siempre",0.43,0.134,0.182,0.192,0.273
"P10","Casi siempre",0.204,0.241,0.259,0.4,0.302
"P10","Casi nunca",0.206,0.333,0.371,0.244,0.273
"P10","Nunca, pero esta es una excepción",0.16,0.292,0.188,0.164,0.152
"P11","Unión por la Patria",0.209,0.134,0.261,0.626,0.671
"P11","Juntos por el Cambio",0.636,0.779,0.51,0.203,0.141
"P11","En blanco",0.077,0.071,0.092,0.128,0.073
"P11","No sabe",0.078,0.016,0.137,0.043,0.115
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.312,0.124,0.323,0.65,0.739
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.641,0.812,0.543,0.233,0.084
"P13","En blanco",0.032,0.055,0.036,0.095,0.065
"P13","No sabe",0.015,0.009,0.098,0.022,0.112
"P15","Totalmente seguro",0.756,0.888,0.759,0.748,0.859
"P15","Bastante seguro",0.164,0.04,0.104,0.169,0.076
"P15","Algo seguro",0.03,0.01,0.082,0.046,0.058
"P15","Para nada seguro",0.05,0.062,0.055,0.037,0.007
"P16","Tiene Decidido que va a ir a votar",0.954,0.9,0.919,0.947,0.946
"P16","Tiene dudas sobre si va a ir a  votar",0.025,0.081,0.073,0.035,0.039
"P16","Tiene Decidido que no va a ir a votar",0.021,0.019,0.008,0.018,0.015
"P17","Lo votaría",0.442,0.141,0.353,0.683,0.709
"P17","Puede que lo vote",0.022,0.083,0.075,0.019,0.02
"P17","Nunca lo votaría",0.527,0.771,0.518,0.293,0.137
"P17","No sabe",0.009,0.005,0.054,0.005,0.134
"P18","Lo votaría",0.716,0.801,0.46,0.223,0.08
"P18","Puede que lo vote",0.063,0.041,0.067,0.055,0.032
"P18","Nunca lo votaría",0.214,0.134,0.456,0.702,0.785
"P18","No sabe",0.007,0.024,0.017,0.02,0.103
"P19","Muy buena",0.388,0.268,0.126,0.478,0.579
"P19","Buena",0.02,0.4,0.097,0.209,0.102
"P19","Ni buena ni mala",0.28,0.135,0.615,0.204,0.233
"P19","Mala",0.254,0.182,0.084,0.074,0.012
"P19","Muy mala",0.058,0.015,0.038,0,0.074
"P19","No sabe",0,0,0.04,0.035,0
"P21","Cristiano no practicante",0.331,0.47,0.143,0.274,0.151
"P21","Católico apostólico romano",0.378,0.448,0.365,0.53,0.42
"P21","Cristiano evangelista o pentecostal",0.042,0.018,0.323,0.023,0.023
"P21","Otras confesiones cristianas",0.068,0.003,0.059,0.109,0.039
"P21","Musulmán",0.019,0.003,0.009,0.003,0.128
"P21","Judío",0,0,0.012,0.005,0.056
"P21","Otras",0.07,0.004,0.017,0,0.003
"P21","No soy religioso",0.087,0.032,0.046,0.047,0.078
"P21","Ateo",0.005,0.022,0.026,0.009,0.102
"P11_imputada","Unión por la Patria",0.272,0.144,0.3,0.627,0.767
"P11_imputada","Juntos por el Cambio",0.651,0.785,0.608,0.242,0.16
"P11_imputada","En blanco",0.077,0.071,0.092,0.131,0.073
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.319,0.13,0.342,0.662,0.847
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.649,0.812,0.615,0.239,0.088
"P13_imputada","En blanco",0.032,0.058,0.043,0.099,0.065
