"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.407,0.396,0.418,0.374,0.438,0.423,0.366,0.48,0.37,0.377,0.748,0.134,0.409,0.356,0.427,0.4,0.442,0.87,0.147,0.093,0.284,0.216
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.477,0.505,0.451,0.515,0.456,0.463,0.484,0.415,0.493,0.525,0.192,0.751,0.427,0.508,0.475,0.525,0.444,0.088,0.685,0.839,0.281,0.571
"En blanco",0.056,0.053,0.059,0.063,0.047,0.05,0.075,0.044,0.067,0.054,0.029,0.054,0.08,0.07,0.038,0.03,0.057,0.018,0.087,0.034,0.183,0.103
"No sabe",0.06,0.046,0.072,0.048,0.059,0.064,0.075,0.061,0.07,0.044,0.031,0.061,0.084,0.066,0.06,0.045,0.057,0.024,0.081,0.034,0.252,0.11
