"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Unión por la Patria",0.423,0.395,0.448,0.397,0.45,0.442,0.378,0.447,0.409,0.416,0.742,0.13,0.377,0.36,0.406,0.451,0.481,0.82,0.143,0.078,0.361,0.181
"Juntos por el Cambio",0.462,0.49,0.437,0.485,0.435,0.465,0.487,0.418,0.47,0.502,0.184,0.768,0.439,0.507,0.475,0.479,0.415,0.106,0.719,0.839,0.35,0.625
"En blanco",0.115,0.115,0.115,0.118,0.115,0.093,0.135,0.135,0.121,0.082,0.074,0.102,0.184,0.133,0.119,0.07,0.104,0.074,0.138,0.083,0.289,0.194
