"var","categoria","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria","Juan Grabois a presidente, Paula Abal Medina a vicepresidenta, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora por Unión por la Patria","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio","Pedro Galimberti a gobernador y Ana D´Angelo a vicegobernadora por Juntos por el Cambio","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza","A los candidatos a presidente, vicepresidente, gobernador y vicegobernador  del Frente de Izquierda","Otro","En blanco","No sabe"
"P05","Mucho",0.483,0.43,0.364,0.421,0.416,0.399,0.201,0.273,0.04,0.177
"P05","Bastante",0.27,0.232,0.325,0.336,0.259,0.229,0.323,0.254,0.111,0.145
"P05","Poco",0.124,0.162,0.206,0.172,0.192,0.176,0.079,0.119,0.494,0.256
"P05","Nada",0.104,0.172,0.081,0.055,0.087,0.184,0.397,0.217,0.355,0.243
"P05","No sabe",0.019,0.004,0.024,0.016,0.046,0.012,0,0.137,0,0.179
"P06","Siempre",0.261,0.272,0.265,0.284,0.346,0.236,0.13,0.374,0.039,0.21
"P06","Casi siempre",0.361,0.377,0.386,0.364,0.333,0.222,0.086,0.187,0.352,0.073
"P06","Casi nunca",0.269,0.257,0.273,0.283,0.263,0.317,0.376,0.202,0.304,0.309
"P06","Nunca, pero esta es una excepción",0.109,0.094,0.076,0.069,0.058,0.225,0.408,0.237,0.305,0.408
"P07","Tiene Decidido que va a ir a votar",0.829,0.775,0.816,0.83,0.81,0.776,0.38,0.823,0.522,0.702
"P07","Tiene dudas sobre si va a ir a  votar",0.117,0.138,0.13,0.147,0.133,0.127,0.125,0.059,0.217,0.125
"P07","Tiene Decidido que no va a ir a votar",0.054,0.087,0.054,0.023,0.057,0.097,0.495,0.118,0.261,0.173
"P09","Unión por la Patria",0.588,0.41,0.106,0.134,0.092,0.065,0.025,0.066,0.166,0.101
"P09","Juntos por el Cambio",0.152,0.24,0.72,0.644,0.692,0.161,0.081,0.097,0,0.052
"P09","De los Liberales libertarios",0.092,0.164,0.126,0.119,0.097,0.591,0,0.048,0,0.041
"P09","De la Izquierda",0.022,0.045,0.001,0.013,0,0.041,0.386,0.029,0,0.047
"P09","Hacemos por nuestro país",0.002,0,0,0.017,0,0,0,0.047,0.034,0.006
"P09","Otro",0.046,0.081,0.013,0.034,0.032,0.057,0,0.115,0,0.136
"P09","En blanco",0.028,0.013,0.011,0.007,0.067,0.019,0.508,0.084,0.645,0.039
"P09","No sabe",0.07,0.047,0.023,0.032,0.02,0.066,0,0.514,0.155,0.578
"P15","Totalmente seguro",0.702,0.517,0.651,0.595,0.602,0.717,0.41,0.397,0.146,0.222
"P15","Bastante seguro",0.183,0.168,0.144,0.25,0.134,0.092,0.084,0.038,0,0.045
"P15","Algo seguro",0.066,0.127,0.127,0.081,0.112,0.111,0.076,0.199,0,0.121
"P15","Para nada seguro",0.049,0.188,0.078,0.074,0.152,0.08,0.43,0.366,0.854,0.612
"P16","La votaría",0.822,0.465,0.132,0.125,0.214,0.184,0,0.152,0.07,0.117
"P16","Puede que la vote",0.096,0.212,0.053,0.112,0.163,0.089,0.228,0.164,0,0.107
"P16","Nunca la votaría",0.043,0.284,0.761,0.72,0.506,0.66,0.518,0.289,0.507,0.353
"P16","No sabe",0.039,0.039,0.054,0.043,0.117,0.067,0.254,0.395,0.423,0.423
"P17","La votaría",0.348,0.446,0.039,0.044,0.025,0.078,0.039,0.076,0.059,0.038
"P17","Puede que la vote",0.225,0.233,0.025,0.049,0.159,0.058,0.209,0.184,0.271,0.154
"P17","Nunca la votaría",0.3,0.243,0.877,0.865,0.718,0.79,0.734,0.444,0.384,0.445
"P17","No sabe",0.127,0.078,0.059,0.042,0.098,0.074,0.018,0.296,0.286,0.363
"P18","La votaría",0.083,0.137,0.699,0.177,0.125,0.13,0,0.086,0.086,0.037
"P18","Puede que la vote",0.092,0.144,0.093,0.448,0.285,0.275,0.138,0.17,0.014,0.186
"P18","Nunca la votaría",0.778,0.629,0.189,0.327,0.516,0.498,0.839,0.523,0.786,0.449
"P18","No sabe",0.047,0.09,0.019,0.048,0.074,0.097,0.023,0.221,0.114,0.328
"P19","La votaría",0.055,0.146,0.333,0.689,0.185,0.113,0,0.067,0,0.019
"P19","Puede que la vote",0.094,0.127,0.358,0.213,0.322,0.174,0.034,0.071,0.035,0.191
"P19","Nunca la votaría",0.81,0.574,0.271,0.059,0.38,0.643,0.943,0.584,0.823,0.396
"P19","No sabe",0.041,0.153,0.038,0.039,0.113,0.07,0.023,0.278,0.142,0.394
"P20","La votaría",0.054,0.095,0.162,0.194,0.177,0.702,0.062,0.09,0,0.056
"P20","Puede que la vote",0.058,0.065,0.25,0.143,0.156,0.099,0.04,0.131,0.201,0.217
"P20","Nunca la votaría",0.851,0.75,0.517,0.613,0.553,0.156,0.875,0.578,0.421,0.395
"P20","No sabe",0.037,0.09,0.071,0.05,0.114,0.043,0.023,0.201,0.378,0.332
"P21","La votaría",0.044,0.1,0.103,0.062,0.546,0.195,0.07,0.16,0,0.063
"P21","Puede que la vote",0.057,0.092,0.249,0.263,0.117,0.098,0.284,0.031,0.017,0.161
"P21","Nunca la votaría",0.815,0.696,0.575,0.581,0.219,0.585,0.561,0.472,0.498,0.321
"P21","No sabe",0.084,0.112,0.073,0.094,0.118,0.122,0.085,0.337,0.485,0.455
"P22","Si",0.439,0.517,0.462,0.354,0.445,0.404,0.381,0.412,0.199,0.295
"P22","No",0.561,0.483,0.538,0.646,0.555,0.596,0.619,0.588,0.801,0.705
"PRESIDENTE","Sergio Massa a presidente, Agustín Rossi a vicepresidente por Unión por la Patria",1,0,0,0,0.133,0,0,0,0,0
"PRESIDENTE","Juan Grabois a presidente, Paula Abal Medina a vicepresidenta por Unión por la Patria",0,1,0,0,0.082,0,0,0,0,0
"PRESIDENTE","Patricia Bullrich a presidenta, Luis Petri a vicepresidente por Juntos por el Cambio",0,0,1,0,0.446,0,0,0,0,0
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente por Juntos por el Cambio",0,0,0,1,0.19,0,0,0,0,0
"PRESIDENTE","Javier Milei a presidente, Victoria Villarruel a vicepresidenta por la Libertad Avanza",0,0,0,0,0.149,1,0,0,0,0
"PRESIDENTE","A los candidatos a presidente, vicepresidente del Frente de Izquierda",0,0,0,0,0,0,1,0,0,0
"PRESIDENTE","Otro",0,0,0,0,0,0,0,1,0,0
"PRESIDENTE","En blanco",0,0,0,0,0,0,0,0,1,0
"PRESIDENTE","No sabe",0,0,0,0,0,0,0,0,0,1
