"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.479,0.356,0.419,0.262
"P05","Bastante",0.254,0.378,0.271,0.241
"P05","Poco",0.151,0.144,0.169,0.193
"P05","Nada",0.098,0.088,0.129,0.192
"P05","No sabe",0.018,0.034,0.012,0.112
"P06","Siempre",0.375,0.2,0.282,0.166
"P06","Casi siempre",0.258,0.381,0.343,0.285
"P06","Casi nunca",0.26,0.283,0.26,0.341
"P06","Nunca, pero esta es una excepción",0.107,0.136,0.115,0.208
"P07","Tiene Decidido que va a ir a votar",0.848,0.78,0.802,0.763
"P07","Tiene dudas sobre si va a ir a  votar",0.085,0.174,0.122,0.124
"P07","Tiene Decidido que no va a ir a votar",0.067,0.046,0.076,0.113
"P09","Unión por la Patria",0.114,0.17,0.334,0.176
"P09","Juntos por el Cambio",0.436,0.551,0.314,0.222
"P09","De los Liberales libertarios",0.304,0.138,0.209,0.149
"P09","De la Izquierda",0.046,0.004,0.02,0.066
"P09","Hacemos por nuestro país",0.005,0.005,0.005,0.01
"P09","Otro",0.037,0.026,0.04,0.077
"P09","En blanco",0.044,0.038,0.021,0.104
"P09","No sabe",0.014,0.068,0.057,0.196
"P12","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.09,0.101,0.329,0.168
"P12","Juan Grabois a presidente, Paula Abal Medina a vicepresidenta, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora por Unión por la Patria",0.082,0.064,0.112,0.089
"P12","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.195,0.408,0.215,0.136
"P12","Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.052,0.188,0.095,0.076
"P12","Pedro Galimberti a gobernador y Ana D´Angelo a vicegobernadora por Juntos por el Cambio",0.231,0.043,0.018,0.049
"P12","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.274,0.119,0.163,0.168
"P12","A los candidatos a presidente, vicepresidente, gobernador y vicegobernador  del Frente de Izquierda",0.005,0.016,0.007,0.005
"P12","Otro",0.048,0.008,0.028,0.099
"P12","En blanco",0,0.001,0.009,0.045
"P12","No sabe",0.023,0.052,0.024,0.165
"P15","Totalmente seguro",0.665,0.583,0.665,0.405
"P15","Bastante seguro",0.109,0.193,0.151,0.164
"P15","Algo seguro",0.137,0.107,0.09,0.122
"P15","Para nada seguro",0.089,0.117,0.094,0.309
"P16","La votaría",0.235,0.174,0.433,0.229
"P16","Puede que la vote",0.109,0.156,0.095,0.086
"P16","Nunca la votaría",0.566,0.611,0.431,0.397
"P16","No sabe",0.09,0.059,0.041,0.288
"P17","La votaría",0.182,0.07,0.204,0.081
"P17","Puede que la vote",0.078,0.149,0.13,0.106
"P17","Nunca la votaría",0.684,0.724,0.614,0.426
"P17","No sabe",0.056,0.057,0.052,0.387
"P18","La votaría",0.336,0.364,0.219,0.153
"P18","Puede que la vote",0.267,0.34,0.137,0.138
"P18","Nunca la votaría",0.337,0.278,0.622,0.318
"P18","No sabe",0.06,0.018,0.022,0.391
"P19","La votaría",0.337,0.293,0.18,0.098
"P19","Puede que la vote",0.226,0.44,0.146,0.159
"P19","Nunca la votaría",0.363,0.239,0.651,0.338
"P19","No sabe",0.074,0.028,0.023,0.405
"P20","La votaría",0.586,0.144,0.179,0.119
"P20","Puede que la vote",0.117,0.356,0.098,0.091
"P20","Nunca la votaría",0.282,0.454,0.711,0.312
"P20","No sabe",0.015,0.046,0.012,0.478
"P22","Si",0.589,0.339,0.434,0.334
"P22","No",0.411,0.661,0.566,0.666
"PRESIDENTE","Sergio Massa a presidente, Agustín Rossi a vicepresidente por Unión por la Patria",0.102,0.105,0.333,0.171
"PRESIDENTE","Juan Grabois a presidente, Paula Abal Medina a vicepresidenta por Unión por la Patria",0.088,0.074,0.112,0.111
"PRESIDENTE","Patricia Bullrich a presidenta, Luis Petri a vicepresidente por Juntos por el Cambio",0.311,0.424,0.226,0.153
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente por Juntos por el Cambio",0.119,0.195,0.095,0.076
"PRESIDENTE","Javier Milei a presidente, Victoria Villarruel a vicepresidenta por la Libertad Avanza",0.304,0.125,0.166,0.175
"PRESIDENTE","A los candidatos a presidente, vicepresidente del Frente de Izquierda",0.005,0.016,0.007,0.005
"PRESIDENTE","Otro",0.048,0.008,0.028,0.099
"PRESIDENTE","En blanco",0,0.001,0.009,0.045
"PRESIDENTE","No sabe",0.023,0.052,0.024,0.165
