"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Bordet","Benedetti","Sapetti","Meiners","Barzola","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.249,0.235,0.262,0.168,0.252,0.323,0.261,0.266,0.237,0.241,0.412,0.057,0.131,0.261,0.027,0.252,0.216,0.221,0.265,0.292,0.26
"Juan Grabois a presidente, Paula Abal Medina a vicepresidenta, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora por Unión por la Patria",0.098,0.09,0.106,0.112,0.108,0.083,0.076,0.104,0.098,0.09,0.132,0.054,0.013,0.193,0.083,0.101,0.117,0.07,0.101,0.119,0.058
"Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.231,0.243,0.22,0.145,0.211,0.305,0.309,0.191,0.241,0.28,0.165,0.403,0.146,0.03,0.027,0.204,0.218,0.244,0.3,0.244,0.229
"Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.1,0.103,0.097,0.091,0.095,0.084,0.149,0.08,0.112,0.112,0.064,0.178,0.138,0.023,0.29,0.122,0.102,0.109,0.087,0.044,0.098
"Pedro Galimberti a gobernador y Ana D´Angelo a vicegobernadora por Juntos por el Cambio",0.052,0.042,0.062,0.054,0.051,0.041,0.066,0.036,0.051,0.081,0.031,0.08,0.078,0.059,0.145,0.052,0.074,0.042,0.01,0.071,0.055
"Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.182,0.204,0.161,0.315,0.181,0.096,0.098,0.186,0.204,0.137,0.114,0.204,0.27,0.283,0.175,0.19,0.211,0.226,0.132,0.106,0.199
"A los candidatos a presidente, vicepresidente, gobernador y vicegobernador  del Frente de Izquierda",0.011,0.016,0.006,0.014,0.005,0.016,0.012,0.014,0.005,0.014,0.003,0.004,0.185,0.122,0.156,0.016,0.005,0.016,0.005,0.003,0.014
"Otro",0.06,0.06,0.059,0.088,0.074,0.031,0.022,0.089,0.047,0.034,0.069,0.015,0.02,0.029,0.097,0.048,0.054,0.065,0.077,0.071,0.067
"En blanco",0.017,0.007,0.027,0.013,0.023,0.021,0.007,0.034,0.005,0.011,0.01,0.005,0.019,0,0,0.015,0.003,0.007,0.023,0.05,0.02
