"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Bordet","Benedetti","Sapetti","Meiners","Barzola","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Sergio Massa a presidente, Agustín Rossi a vicepresidente por Unión por la Patria",0.256,0.238,0.274,0.168,0.263,0.324,0.282,0.274,0.241,0.252,0.422,0.06,0.146,0.261,0.124,0.261,0.224,0.238,0.265,0.301,0.263
"Juan Grabois a presidente, Paula Abal Medina a vicepresidenta por Unión por la Patria",0.103,0.091,0.115,0.116,0.115,0.088,0.077,0.108,0.102,0.098,0.137,0.054,0.013,0.193,0.083,0.109,0.12,0.084,0.101,0.127,0.058
"Patricia Bullrich a presidenta, Luis Petri a vicepresidente por Juntos por el Cambio",0.252,0.265,0.239,0.164,0.23,0.325,0.339,0.212,0.258,0.306,0.169,0.455,0.158,0.068,0.075,0.228,0.259,0.247,0.308,0.259,0.238
"Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente por Juntos por el Cambio",0.11,0.114,0.107,0.102,0.104,0.095,0.157,0.08,0.131,0.123,0.067,0.199,0.138,0.045,0.29,0.128,0.116,0.113,0.087,0.059,0.123
"Javier Milei a presidente, Victoria Villarruel a vicepresidenta por la Libertad Avanza",0.191,0.21,0.172,0.335,0.186,0.1,0.104,0.189,0.21,0.162,0.123,0.208,0.321,0.283,0.175,0.195,0.219,0.229,0.134,0.131,0.217
"A los candidatos a presidente, vicepresidente del Frente de Izquierda",0.011,0.015,0.006,0.014,0.005,0.016,0.012,0.014,0.005,0.014,0.003,0.004,0.185,0.122,0.156,0.016,0.005,0.016,0.005,0.003,0.014
"Otro",0.06,0.06,0.059,0.088,0.074,0.031,0.022,0.089,0.047,0.034,0.069,0.015,0.02,0.028,0.097,0.048,0.054,0.065,0.077,0.07,0.067
"En blanco",0.017,0.007,0.028,0.013,0.023,0.021,0.007,0.034,0.006,0.011,0.01,0.005,0.019,0,0,0.015,0.003,0.008,0.023,0.05,0.02
