"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Bordet","Benedetti","Sapetti","Meiners","Barzola","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Siempre",0.248,0.258,0.239,0.198,0.233,0.252,0.366,0.224,0.262,0.265,0.28,0.244,0.309,0.378,0.253,0.262,0.217,0.253,0.22,0.241,0.295
"Casi siempre",0.303,0.305,0.301,0.236,0.295,0.357,0.365,0.26,0.337,0.319,0.319,0.359,0.055,0.123,0.367,0.299,0.309,0.32,0.278,0.305,0.315
"Casi nunca",0.288,0.29,0.286,0.287,0.323,0.309,0.175,0.302,0.285,0.269,0.286,0.262,0.334,0.459,0.236,0.3,0.278,0.248,0.351,0.26,0.263
"Nunca, pero esta es una excepción",0.161,0.147,0.174,0.279,0.149,0.082,0.094,0.214,0.116,0.147,0.115,0.135,0.302,0.04,0.144,0.139,0.196,0.179,0.151,0.194,0.127
