"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Bordet","Benedetti","Sapetti","Meiners","Barzola","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Si",0.428,0.448,0.409,0.418,0.451,0.446,0.365,0.411,0.447,0.422,0.437,0.42,0.235,0.605,0.501,0.457,0.364,0.46,0.399,0.533,0.363
"No",0.572,0.552,0.591,0.582,0.549,0.554,0.635,0.589,0.553,0.578,0.563,0.58,0.765,0.395,0.499,0.543,0.636,0.54,0.601,0.467,0.637
