"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Javkin","Tessandori","Estévez","Cardozo","Monteverde","Sukerman"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.382,0.367,0.395,0.437,0.39,0.389,0.316,0.411,0.299,0.433,0.218,0.274,0.158,0.046,0.726,0.774
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.303,0.266,0.337,0.172,0.233,0.337,0.493,0.268,0.342,0.29,0.492,0.343,0.465,0.55,0.098,0.061
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.259,0.306,0.216,0.349,0.314,0.227,0.127,0.257,0.316,0.215,0.257,0.333,0.278,0.272,0.12,0.121
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.023,0.016,0,0.031,0.012,0.02,0.025,0.011,0.023,0.015,0.011,0.036,0.026,0.017,0.02
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.018,0.019,0.018,0.015,0.018,0.014,0.026,0.013,0.015,0.023,0.016,0.013,0.026,0.02,0.028,0.018
"En blanco",0.018,0.019,0.018,0.027,0.014,0.021,0.018,0.026,0.017,0.016,0.002,0.026,0.037,0.086,0.011,0.006
