"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a votar","Tiene Decidido que no va a ir a votar"
"P08_imputada","Pablo Javkin a intendente por Unidos para Cambiar Santa Fe",0.448,0.374,0.533
"P08_imputada","Juan Monteverde a intendente por Juntos Avancemos",0.461,0.414,0.246
"P08_imputada","En blanco",0.091,0.212,0.221
"P12_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.456,0.457,0.204
"P12_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.395,0.158,0.226
"P12_imputada","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.048,0.175,0.303
"P12_imputada","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.027,0.058,0.011
"P12_imputada","Otro",0.048,0.018,0.216
"P12_imputada","En blanco",0.026,0.134,0.04
"P14_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.387,0.28,0.374
"P14_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.311,0.269,0.057
"P14_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.252,0.387,0.27
"P14_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.016,0.153
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.018,0.005,0.071
"P14_imputada","En blanco",0.016,0.043,0.075
