"var","categoria","Pablo Javkin a intendente por Unidos para Cambiar Santa Fe","Juan Monteverde a intendente por Juntos Avancemos","En blanco","No sabe"
"P05","Mucho",0.465,0.647,0.449,0.418
"P05","Bastante",0.37,0.242,0.264,0.31
"P05","Poco",0.142,0.065,0.179,0.148
"P05","Nada",0.021,0.041,0.108,0.086
"P05","No sabe",0.002,0.005,0,0.038
"P06","Siempre",0.262,0.293,0.183,0.165
"P06","Casi siempre",0.384,0.375,0.375,0.369
"P06","Casi nunca",0.292,0.232,0.201,0.303
"P06","Nunca, pero esta es una excepción",0.062,0.1,0.241,0.163
"P10","Totalmente seguro",0.652,0.744,0.615,0.3
"P10","Bastante seguro",0.2,0.112,0.088,0.191
"P10","Algo seguro",0.086,0.072,0.151,0.125
"P10","Para nada seguro",0.062,0.072,0.146,0.384
"P11","Tiene Decidido que va a ir a votar",0.945,0.949,0.808,0.834
"P11","Tiene dudas sobre si va a ir a votar",0.039,0.042,0.125,0.071
"P11","Tiene Decidido que no va a ir a votar",0.016,0.009,0.067,0.095
"P12","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.78,0.184,0.29,0.276
"P12","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.149,0.651,0.165,0.216
"P12","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.02,0.028,0.259,0.121
"P12","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.007,0.037,0.044,0.051
"P12","Otro",0.018,0.042,0.08,0.084
"P12","En blanco",0.01,0.016,0.116,0.033
"P12","No sabe",0.016,0.042,0.046,0.219
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.139,0.649,0.171,0.241
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.537,0.108,0.222,0.144
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.26,0.156,0.447,0.301
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.009,0.02,0.048,0.013
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.012,0.021,0.005,0.031
"P14","En blanco",0.008,0.008,0.074,0.045
"P14","No sabe",0.035,0.038,0.033,0.225
"P17","Si",0.54,0.512,0.405,0.493
"P17","No",0.46,0.488,0.595,0.507
