"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Javkin","Tessandori","Estévez","Cardozo","Monteverde","Sukerman"
"Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.379,0.399,0.362,0.462,0.416,0.335,0.302,0.38,0.333,0.416,0.186,0.355,0.173,0.035,0.742,0.759
"Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.45,0.426,0.471,0.288,0.392,0.51,0.605,0.451,0.488,0.417,0.75,0.507,0.656,0.753,0.12,0.136
"Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.06,0.078,0.043,0.077,0.08,0.055,0.015,0.059,0.072,0.051,0.02,0.061,0.093,0.155,0.023,0.044
"Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.028,0.036,0.021,0.026,0.044,0.021,0.007,0.023,0.028,0.031,0.014,0,0.011,0.022,0.046,0.009
"Otro",0.051,0.033,0.068,0.11,0.043,0.034,0.045,0.056,0.05,0.05,0.02,0.031,0.052,0.013,0.059,0.052
"En blanco",0.032,0.028,0.035,0.037,0.025,0.045,0.026,0.031,0.029,0.035,0.01,0.046,0.015,0.022,0.01,0
