"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P05","Mucho",0.688,0.451,0.497,0.671,0.573,0.471,0.352
"P05","Bastante",0.225,0.4,0.327,0.082,0.348,0.245,0.327
"P05","Poco",0.052,0.132,0.126,0.116,0.056,0.217,0.165
"P05","Nada",0.025,0.013,0.04,0.117,0.023,0.067,0.133
"P05","No sabe",0.01,0.004,0.01,0.014,0,0,0.023
"P06","Siempre",0.319,0.221,0.25,0.49,0.369,0.145,0.074
"P06","Casi siempre",0.422,0.412,0.335,0.235,0.296,0.55,0.331
"P06","Casi nunca",0.196,0.271,0.3,0.189,0.311,0.105,0.373
"P06","Nunca, pero esta es una excepción",0.063,0.096,0.115,0.086,0.024,0.2,0.222
"P08","Pablo Javkin a intendente por Unidos para Cambiar Santa Fe",0.15,0.725,0.427,0.198,0.276,0.185,0.244
"P08","Juan Monteverde a intendente por Juntos Avancemos",0.736,0.153,0.268,0.464,0.504,0.179,0.278
"P08","En blanco",0.044,0.07,0.173,0.256,0.03,0.377,0.054
"P08","No sabe",0.07,0.052,0.132,0.082,0.19,0.259,0.424
"P10","Totalmente seguro",0.764,0.667,0.616,0.642,0.563,0.415,0.255
"P10","Bastante seguro",0.125,0.191,0.147,0.225,0.053,0.1,0.161
"P10","Algo seguro",0.048,0.077,0.114,0.051,0.198,0.127,0.148
"P10","Para nada seguro",0.063,0.065,0.123,0.082,0.186,0.358,0.436
"P11","Tiene Decidido que va a ir a votar",0.95,0.952,0.914,0.846,0.929,0.788,0.795
"P11","Tiene dudas sobre si va a ir a votar",0.032,0.045,0.071,0.023,0.014,0.115,0.074
"P11","Tiene Decidido que no va a ir a votar",0.018,0.003,0.015,0.131,0.057,0.097,0.131
"P12","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.166,0.799,0.489,0.214,0.291,0.261,0.287
"P12","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.753,0.122,0.139,0.319,0.114,0.247,0.157
"P12","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.002,0.012,0.186,0.082,0.03,0.207,0.064
"P12","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.019,0.015,0.026,0.309,0.17,0.017,0.006
"P12","Otro",0.022,0.024,0.066,0.014,0.237,0.071,0.069
"P12","En blanco",0.012,0.021,0.044,0,0,0.184,0.017
"P12","No sabe",0.026,0.007,0.05,0.062,0.158,0.013,0.4
"P17","Si",0.54,0.51,0.515,0.297,0.775,0.446,0.307
"P17","No",0.46,0.49,0.485,0.703,0.225,0.554,0.693
