"var","categoria","Pablo Javkin a intendente por Unidos para Cambiar Santa Fe","Juan Monteverde a intendente por Juntos Avancemos","En blanco"
"P05","Mucho",0.451,0.636,0.419
"P05","Bastante",0.37,0.243,0.264
"P05","Poco",0.148,0.069,0.174
"P05","Nada",0.027,0.041,0.133
"P05","No sabe",0.004,0.011,0.01
"P06","Siempre",0.255,0.278,0.167
"P06","Casi siempre",0.377,0.377,0.383
"P06","Casi nunca",0.303,0.233,0.207
"P06","Nunca, pero esta es una excepción",0.065,0.112,0.243
"P10","Totalmente seguro",0.618,0.696,0.549
"P10","Bastante seguro",0.196,0.124,0.093
"P10","Algo seguro",0.089,0.075,0.165
"P10","Para nada seguro",0.097,0.105,0.193
"P11","Tiene Decidido que va a ir a votar",0.925,0.939,0.833
"P11","Tiene dudas sobre si va a ir a votar",0.043,0.047,0.108
"P11","Tiene Decidido que no va a ir a votar",0.032,0.014,0.059
"P12_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.738,0.203,0.296
"P12_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.162,0.642,0.16
"P12_imputada","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.03,0.043,0.26
"P12_imputada","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.02,0.034,0.038
"P12_imputada","Otro",0.039,0.056,0.083
"P12_imputada","En blanco",0.011,0.022,0.163
"P14_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.162,0.642,0.176
"P14_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.512,0.119,0.224
"P14_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.288,0.183,0.472
"P14_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.019,0.046
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.013,0.026,0.005
"P14_imputada","En blanco",0.012,0.011,0.077
"P17","Si",0.534,0.511,0.414
"P17","No",0.466,0.489,0.586
