"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Javkin","Tessandori","Estévez","Cardozo","Monteverde","Sukerman"
"Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.363,0.389,0.34,0.436,0.396,0.328,0.29,0.371,0.319,0.394,0.182,0.324,0.141,0.035,0.712,0.753
"Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.436,0.42,0.45,0.289,0.382,0.485,0.587,0.443,0.472,0.403,0.736,0.505,0.652,0.742,0.116,0.118
"Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.056,0.071,0.042,0.066,0.076,0.052,0.014,0.059,0.067,0.046,0.018,0.057,0.093,0.155,0.023,0.044
"Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.028,0.035,0.021,0.026,0.043,0.021,0.007,0.023,0.028,0.03,0.013,0,0.01,0.022,0.046,0.008
"Otro",0.041,0.029,0.051,0.069,0.043,0.026,0.034,0.039,0.05,0.034,0.021,0.031,0.052,0.014,0.04,0.031
"En blanco",0.024,0.023,0.026,0.011,0.024,0.036,0.022,0.023,0.02,0.029,0.01,0.044,0.015,0.022,0.01,0
"No sabe",0.052,0.033,0.07,0.103,0.036,0.052,0.046,0.042,0.044,0.064,0.02,0.039,0.037,0.01,0.053,0.046
