"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.546,0.438,0.464
"P05","Bastante",0.309,0.245,0.117
"P05","Poco",0.106,0.204,0.173
"P05","Nada",0.032,0.081,0.246
"P05","No sabe",0.007,0.032,0
"P06","Siempre",0.262,0.091,0.255
"P06","Casi siempre",0.393,0.342,0.09
"P06","Casi nunca",0.253,0.377,0.406
"P06","Nunca, pero esta es una excepción",0.092,0.19,0.249
"P08","Pablo Javkin a intendente por Unidos para Cambiar Santa Fe",0.401,0.295,0.235
"P08","Juan Monteverde a intendente por Juntos Avancemos",0.42,0.337,0.137
"P08","En blanco",0.076,0.212,0.222
"P08","No sabe",0.103,0.156,0.406
"P10","Totalmente seguro",0.682,0.248,0.246
"P10","Bastante seguro",0.153,0.2,0.052
"P10","Algo seguro",0.078,0.199,0.306
"P10","Para nada seguro",0.087,0.353,0.396
"P12","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.444,0.402,0.175
"P12","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.378,0.151,0.216
"P12","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.045,0.141,0.302
"P12","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.027,0.052,0.011
"P12","Otro",0.042,0.018,0.056
"P12","En blanco",0.021,0.097,0.031
"P12","No sabe",0.043,0.139,0.209
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.37,0.24,0.282
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.298,0.269,0.04
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.236,0.35,0.151
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.008,0.098
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.017,0.005,0.041
"P14","En blanco",0.015,0.043,0.075
"P14","No sabe",0.048,0.085,0.313
"P17","Si",0.525,0.309,0.344
"P17","No",0.475,0.691,0.656
