"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Javkin","Tessandori","Estévez","Cardozo","Monteverde","Sukerman"
"Totalmente seguro",0.647,0.7,0.599,0.698,0.632,0.637,0.649,0.587,0.598,0.716,0.673,0.52,0.583,0.439,0.796,0.667
"Bastante seguro",0.153,0.134,0.17,0.098,0.161,0.142,0.191,0.164,0.169,0.134,0.181,0.247,0.181,0.171,0.068,0.1
"Algo seguro",0.09,0.07,0.108,0.111,0.098,0.099,0.05,0.061,0.127,0.077,0.104,0.098,0.071,0.192,0.068,0.091
"Para nada seguro",0.11,0.096,0.123,0.093,0.109,0.122,0.11,0.188,0.106,0.073,0.042,0.135,0.165,0.198,0.068,0.142
