"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Javkin","Tessandori","Estévez","Cardozo","Monteverde","Sukerman"
"Si",0.511,0.53,0.492,0.364,0.541,0.538,0.524,0.528,0.505,0.506,0.573,0.491,0.53,0.381,0.485,0.551
"No",0.489,0.47,0.508,0.636,0.459,0.462,0.476,0.472,0.495,0.494,0.427,0.509,0.47,0.619,0.515,0.449
