"var","categoria","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda","Otro","En blanco"
"P05","Mucho",0.484,0.675,0.4,0.416,0.378,0.442
"P05","Bastante",0.359,0.236,0.459,0.187,0.369,0.148
"P05","Poco",0.119,0.06,0.081,0.29,0.183,0.16
"P05","Nada",0.029,0.025,0.045,0.107,0.065,0.193
"P05","No sabe",0.009,0.004,0.015,0,0.005,0.057
"P06","Siempre",0.246,0.308,0.136,0.365,0.176,0.177
"P06","Casi siempre",0.376,0.433,0.325,0.227,0.28,0.399
"P06","Casi nunca",0.285,0.18,0.317,0.349,0.396,0.275
"P06","Nunca, pero esta es una excepción",0.093,0.079,0.222,0.059,0.148,0.149
"P08_imputada","Pablo Javkin a intendente por Unidos para Cambiar Santa Fe",0.727,0.189,0.222,0.309,0.339,0.158
"P08_imputada","Juan Monteverde a intendente por Juntos Avancemos",0.205,0.767,0.328,0.551,0.492,0.312
"P08_imputada","En blanco",0.068,0.044,0.45,0.14,0.169,0.53
"P10","Totalmente seguro",0.602,0.739,0.617,0.595,0.604,0.523
"P10","Bastante seguro",0.194,0.135,0.099,0.087,0.089,0.104
"P10","Algo seguro",0.101,0.052,0.13,0.162,0.071,0.021
"P10","Para nada seguro",0.103,0.074,0.154,0.156,0.236,0.352
"P11","Tiene Decidido que va a ir a votar",0.939,0.965,0.734,0.889,0.879,0.764
"P11","Tiene dudas sobre si va a ir a votar",0.05,0.02,0.142,0.102,0.017,0.205
"P11","Tiene Decidido que no va a ir a votar",0.011,0.015,0.124,0.009,0.104,0.031
"P14_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.146,0.759,0.01,0.256,0.318,0.195
"P14_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.535,0.101,0.057,0.162,0.168,0.206
"P14_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.282,0.107,0.82,0.257,0.356,0.489
"P14_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.015,0.044,0.204,0.005,0
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.014,0.006,0.008,0.109,0.127,0
"P14_imputada","En blanco",0.011,0.012,0.061,0.012,0.026,0.11
"P17","Si",0.495,0.56,0.485,0.392,0.461,0.369
"P17","No",0.505,0.44,0.515,0.608,0.539,0.631
