"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Javkin","Tessandori","Estévez","Cardozo","Monteverde","Sukerman"
"Juan Monteverde a intendente por Juntos Avancemos",0.457,0.46,0.453,0.605,0.468,0.418,0.364,0.457,0.401,0.502,0.154,0.468,0.371,0.175,0.947,0.758
"Pablo Javkin a intendente por Unidos para Cambiar Santa Fe",0.44,0.429,0.45,0.265,0.409,0.482,0.589,0.414,0.506,0.4,0.826,0.402,0.471,0.551,0.039,0.108
"En blanco",0.103,0.111,0.097,0.13,0.123,0.1,0.047,0.129,0.093,0.098,0.02,0.13,0.158,0.274,0.014,0.134
