"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.198,0.216,0.269,0.242
"P08","Casi siempre",0.34,0.346,0.349,0.356
"P08","Casi nunca",0.331,0.302,0.273,0.283
"P08","Nunca, pero esta es una excepción",0.131,0.136,0.109,0.119
"P09","Muy de acuerdo",0.465,0.078,0.061,0.062
"P09","De acuerdo",0.23,0.114,0.03,0.036
"P09","Ni de acuerdo ni en desacuerdo",0.163,0.204,0.188,0.188
"P09","En desacuerdo",0.089,0.252,0.264,0.386
"P09","Muy en desacuerdo",0.036,0.323,0.437,0.296
"P09","No sabe",0.017,0.029,0.02,0.032
"P10","De acuerdo",0.691,0.125,0.081,0.079
"P10","Ni de acuerdo ni en desacuerdo",0.158,0.289,0.147,0.099
"P10","En desacuerdo",0.087,0.479,0.642,0.46
"P10","No sabe",0.064,0.107,0.13,0.362
"P11","De acuerdo",0.805,0.194,0.077,0.093
"P11","Ni de acuerdo ni en desacuerdo",0.119,0.447,0.166,0.172
"P11","En desacuerdo",0.054,0.3,0.665,0.302
"P11","No sabe",0.022,0.059,0.092,0.433
"P13","De acuerdo",0.712,0.078,0.043,0.04
"P13","Ni de acuerdo ni en desacuerdo",0.193,0.477,0.151,0.134
"P13","En desacuerdo",0.054,0.398,0.699,0.381
"P13","No sabe",0.041,0.047,0.107,0.445
"P14","De acuerdo",0.715,0.141,0.062,0.095
"P14","Ni de acuerdo ni en desacuerdo",0.194,0.375,0.115,0.131
"P14","En desacuerdo",0.062,0.43,0.75,0.49
"P14","No sabe",0.029,0.054,0.073,0.284
"P15","De acuerdo",0.676,0.261,0.18,0.128
"P15","Ni de acuerdo ni en desacuerdo",0.218,0.266,0.113,0.045
"P15","En desacuerdo",0.074,0.422,0.64,0.424
"P15","No sabe",0.032,0.051,0.067,0.403
"P16","De acuerdo",0.85,0.283,0.121,0.115
"P16","Ni de acuerdo ni en desacuerdo",0.083,0.313,0.128,0.101
"P16","En desacuerdo",0.038,0.356,0.637,0.459
"P16","No sabe",0.029,0.048,0.114,0.325
"P17","De acuerdo",0.588,0.141,0.061,0.06
"P17","Ni de acuerdo ni en desacuerdo",0.189,0.112,0.049,0.108
"P17","En desacuerdo",0.191,0.723,0.85,0.706
"P17","No sabe",0.032,0.024,0.04,0.126
"P18","De acuerdo",0.55,0.103,0.025,0.029
"P18","Ni de acuerdo ni en desacuerdo",0.228,0.166,0.065,0.113
"P18","En desacuerdo",0.165,0.684,0.855,0.727
"P18","No sabe",0.057,0.047,0.055,0.131
"P19","De acuerdo",0.729,0.131,0.055,0.075
"P19","Ni de acuerdo ni en desacuerdo",0.11,0.108,0.052,0.081
"P19","En desacuerdo",0.141,0.732,0.849,0.747
"P19","No sabe",0.02,0.029,0.044,0.097
"P20","De acuerdo",0.669,0.148,0.038,0.053
"P20","Ni de acuerdo ni en desacuerdo",0.162,0.174,0.103,0.104
"P20","En desacuerdo",0.133,0.641,0.802,0.736
"P20","No sabe",0.036,0.037,0.057,0.107
"P21","De acuerdo",0.707,0.142,0.049,0.056
"P21","Ni de acuerdo ni en desacuerdo",0.13,0.164,0.052,0.053
"P21","En desacuerdo",0.146,0.643,0.84,0.769
"P21","No sabe",0.017,0.051,0.059,0.122
"P22","Si",0.461,0.517,0.558,0.47
"P22","No",0.323,0.164,0.14,0.259
"P22","No sabe",0.216,0.319,0.302,0.271
"P23","Si",0.541,0.175,0.105,0.124
"P23","No",0.358,0.737,0.771,0.744
"P23","No sabe",0.101,0.088,0.124,0.132
"P24","Si",0.467,0.085,0.069,0.052
"P24","No",0.413,0.8,0.791,0.846
"P24","No sabe",0.12,0.115,0.14,0.102
"P25","Si",0.512,0.155,0.12,0.065
"P25","No",0.395,0.77,0.735,0.837
"P25","No sabe",0.093,0.075,0.145,0.098
"P26","A favor",0.766,0.187,0.09,0.088
"P26","En contra",0.136,0.688,0.759,0.741
"P26","No sabe",0.098,0.125,0.151,0.171
