"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.201,0.193,0.249,0.196
"P08","Casi siempre",0.324,0.343,0.377,0.376
"P08","Casi nunca",0.338,0.342,0.293,0.232
"P08","Nunca, pero esta es una excepción",0.137,0.122,0.081,0.196
"P09","Muy de acuerdo",0.643,0.313,0.061,0.12
"P09","De acuerdo",0.23,0.317,0.048,0.172
"P09","Ni de acuerdo ni en desacuerdo",0.082,0.263,0.17,0.308
"P09","En desacuerdo",0.026,0.069,0.297,0.309
"P09","Muy en desacuerdo",0.008,0.033,0.402,0.038
"P09","No sabe",0.011,0.005,0.022,0.053
"P10","De acuerdo",0.85,0.53,0.141,0.308
"P10","Ni de acuerdo ni en desacuerdo",0.094,0.265,0.171,0.258
"P10","En desacuerdo",0.027,0.117,0.572,0.094
"P10","No sabe",0.029,0.088,0.116,0.34
"P11","De acuerdo",0.853,0.676,0.25,0.514
"P11","Ni de acuerdo ni en desacuerdo",0.111,0.167,0.249,0.145
"P11","En desacuerdo",0.027,0.117,0.408,0.166
"P11","No sabe",0.009,0.04,0.093,0.175
"P12","De acuerdo",0.947,0.786,0.281,0.616
"P12","Ni de acuerdo ni en desacuerdo",0.038,0.124,0.251,0.109
"P12","En desacuerdo",0.011,0.055,0.357,0.147
"P12","No sabe",0.004,0.035,0.111,0.128
"P13","De acuerdo",0.847,0.549,0.141,0.26
"P13","Ni de acuerdo ni en desacuerdo",0.125,0.369,0.237,0.276
"P13","En desacuerdo",0.019,0.038,0.533,0.122
"P13","No sabe",0.009,0.044,0.089,0.342
"P14","De acuerdo",0.83,0.543,0.186,0.325
"P14","Ni de acuerdo ni en desacuerdo",0.135,0.359,0.19,0.197
"P14","En desacuerdo",0.024,0.083,0.572,0.11
"P14","No sabe",0.011,0.015,0.052,0.368
"P15","De acuerdo",0.747,0.556,0.274,0.392
"P15","Ni de acuerdo ni en desacuerdo",0.189,0.315,0.142,0.229
"P15","En desacuerdo",0.047,0.085,0.522,0.062
"P15","No sabe",0.017,0.044,0.062,0.317
"P16","De acuerdo",0.898,0.765,0.28,0.538
"P16","Ni de acuerdo ni en desacuerdo",0.058,0.154,0.172,0.115
"P16","En desacuerdo",0.029,0.045,0.47,0.074
"P16","No sabe",0.015,0.036,0.078,0.273
"P17","De acuerdo",0.876,0.326,0.044,0.176
"P17","Ni de acuerdo ni en desacuerdo",0.078,0.511,0.039,0.144
"P17","En desacuerdo",0.039,0.158,0.9,0.255
"P17","No sabe",0.007,0.005,0.017,0.425
"P19","De acuerdo",0.955,0.532,0.071,0.271
"P19","Ni de acuerdo ni en desacuerdo",0.027,0.316,0.051,0.173
"P19","En desacuerdo",0.012,0.14,0.874,0.149
"P19","No sabe",0.006,0.012,0.004,0.407
"P20","De acuerdo",0.918,0.438,0.057,0.201
"P20","Ni de acuerdo ni en desacuerdo",0.05,0.43,0.109,0.192
"P20","En desacuerdo",0.024,0.101,0.813,0.144
"P20","No sabe",0.008,0.031,0.021,0.463
"P21","De acuerdo",0.9,0.518,0.097,0.254
"P21","Ni de acuerdo ni en desacuerdo",0.069,0.304,0.074,0.119
"P21","En desacuerdo",0.019,0.154,0.817,0.263
"P21","No sabe",0.012,0.024,0.012,0.364
"P22","Si",0.481,0.304,0.592,0.391
"P22","No",0.358,0.354,0.153,0.16
"P22","No sabe",0.161,0.342,0.255,0.449
"P23","Si",0.725,0.348,0.123,0.212
"P23","No",0.201,0.52,0.762,0.642
"P23","No sabe",0.074,0.132,0.115,0.146
"P24","Si",0.629,0.309,0.059,0.162
"P24","No",0.285,0.498,0.828,0.656
"P24","No sabe",0.086,0.193,0.113,0.182
"P25","Si",0.672,0.354,0.117,0.184
"P25","No",0.264,0.478,0.8,0.598
"P25","No sabe",0.064,0.168,0.083,0.218
"P26","A favor",0.914,0.663,0.137,0.344
"P26","En contra",0.04,0.143,0.744,0.367
"P26","No sabe",0.046,0.194,0.119,0.289
