"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.199,0.283,0.268,0.129
"P08","Casi siempre",0.335,0.345,0.361,0.45
"P08","Casi nunca",0.329,0.27,0.308,0.285
"P08","Nunca, pero esta es una excepción",0.137,0.102,0.063,0.136
"P09","Muy de acuerdo",0.48,0.144,0.055,0.06
"P09","De acuerdo",0.232,0.146,0.052,0.06
"P09","Ni de acuerdo ni en desacuerdo",0.151,0.286,0.081,0.276
"P09","En desacuerdo",0.075,0.231,0.293,0.339
"P09","Muy en desacuerdo",0.046,0.167,0.512,0.175
"P09","No sabe",0.016,0.026,0.007,0.09
"P10","De acuerdo",0.697,0.228,0.119,0.105
"P10","Ni de acuerdo ni en desacuerdo",0.15,0.31,0.116,0.219
"P10","En desacuerdo",0.093,0.349,0.669,0.278
"P10","No sabe",0.06,0.113,0.096,0.398
"P11","De acuerdo",0.797,0.345,0.119,0.21
"P11","Ni de acuerdo ni en desacuerdo",0.116,0.373,0.241,0.161
"P11","En desacuerdo",0.066,0.231,0.536,0.302
"P11","No sabe",0.021,0.051,0.104,0.327
"P12","De acuerdo",0.895,0.439,0.122,0.303
"P12","Ni de acuerdo ni en desacuerdo",0.063,0.35,0.244,0.106
"P12","En desacuerdo",0.031,0.164,0.5,0.287
"P12","No sabe",0.011,0.047,0.134,0.304
"P13","De acuerdo",0.703,0.268,0.065,0.128
"P13","Ni de acuerdo ni en desacuerdo",0.204,0.462,0.128,0.268
"P13","En desacuerdo",0.06,0.205,0.755,0.131
"P13","No sabe",0.033,0.065,0.052,0.473
"P14","De acuerdo",0.717,0.287,0.065,0.192
"P14","Ni de acuerdo ni en desacuerdo",0.187,0.463,0.107,0.17
"P14","En desacuerdo",0.075,0.211,0.805,0.183
"P14","No sabe",0.021,0.039,0.023,0.455
"P15","De acuerdo",0.714,0.316,0.093,0.213
"P15","Ni de acuerdo ni en desacuerdo",0.19,0.454,0.079,0.168
"P15","En desacuerdo",0.073,0.169,0.8,0.105
"P15","No sabe",0.023,0.061,0.028,0.514
"P17","De acuerdo",0.601,0.221,0.049,0.097
"P17","Ni de acuerdo ni en desacuerdo",0.18,0.23,0.031,0.103
"P17","En desacuerdo",0.197,0.516,0.914,0.501
"P17","No sabe",0.022,0.033,0.006,0.299
"P18","De acuerdo",0.545,0.177,0.053,0.1
"P18","Ni de acuerdo ni en desacuerdo",0.232,0.235,0.042,0.115
"P18","En desacuerdo",0.171,0.533,0.883,0.508
"P18","No sabe",0.052,0.055,0.022,0.277
"P19","De acuerdo",0.719,0.295,0.071,0.122
"P19","Ni de acuerdo ni en desacuerdo",0.108,0.153,0.038,0.098
"P19","En desacuerdo",0.155,0.525,0.881,0.553
"P19","No sabe",0.018,0.027,0.01,0.227
"P20","De acuerdo",0.665,0.236,0.082,0.092
"P20","Ni de acuerdo ni en desacuerdo",0.165,0.243,0.061,0.118
"P20","En desacuerdo",0.139,0.477,0.848,0.497
"P20","No sabe",0.031,0.044,0.009,0.293
"P21","De acuerdo",0.703,0.277,0.063,0.115
"P21","Ni de acuerdo ni en desacuerdo",0.12,0.165,0.075,0.138
"P21","En desacuerdo",0.153,0.512,0.856,0.527
"P21","No sabe",0.024,0.046,0.006,0.22
"P22","Si",0.455,0.481,0.608,0.385
"P22","No",0.32,0.246,0.148,0.184
"P22","No sabe",0.225,0.273,0.244,0.431
"P23","Si",0.543,0.218,0.125,0.168
"P23","No",0.364,0.692,0.746,0.656
"P23","No sabe",0.093,0.09,0.129,0.176
"P24","Si",0.464,0.18,0.063,0.091
"P24","No",0.422,0.695,0.818,0.705
"P24","No sabe",0.114,0.125,0.119,0.204
"P25","Si",0.516,0.219,0.117,0.086
"P25","No",0.404,0.63,0.777,0.751
"P25","No sabe",0.08,0.151,0.106,0.163
"P26","A favor",0.777,0.29,0.078,0.124
"P26","En contra",0.128,0.54,0.836,0.565
"P26","No sabe",0.095,0.17,0.086,0.311
